tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N1.EPI_ISL_17606865.Anseriformes.south_korea.22.2021-11-14	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.8	127.7	profile004
H5N1.EPI_ISL_17606828.Anseriformes.south_korea.22.2021-12-13	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_17606834.Galliformes.south_korea.22.2021-12-20	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_17606844.Anseriformes.south_korea.22.2022-01-25	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile004
H5N1.EPI_ISL_17606850.Galliformes.south_korea.22.2022-02-04	H5N1	Galliformes_domestic	Galliformes	eastern asia	35.7197	127.1244	profile004
H5N1.EPI_ISL_17606821.Anseriformes.south_korea.22.2021-11-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_china_20230847.Anseriformes.china.22.2021-12-02	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile004
H5N1.EPI_ISL_18373264.NA.south_korea.NA.2021-12-22	H5N1	unknown	NA	eastern asia	35.907757	127.766922	profile004
H5N1.EPI_ISL_17606826.Galliformes.south_korea.22.2021-12-05	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.8679	126.991	profile004
H5N1.EPI_ISL_11211731.Anseriformes.bangladesh.19.2021-12-22	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331	profile001
H5N1.EPI_ISL_13243696.Anseriformes.bangladesh.NA.2021-12-22	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331	profile001
H5N1.EPI_ISL_14886825.Anseriformes.bangladesh.19.2021-12-19	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331	profile001
H5N1.EPI_ISL_13243350.Anseriformes.bangladesh.19.2022-03-09	H5N1	Anseriformes_wild	Anseriformes	southern asia	23.684994	90.356331	profile001
H5N1.EPI_ISL_china_23.Charadriiformes.china.19.2022-07-22	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_26.Podicipediformes.china.19.2022-07-15	H5N1	Podicipediformes_wild	Podicipediformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_28.Podicipediformes.china.19.2022-07-21	H5N1	Podicipediformes_wild	Podicipediformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_33.Charadriiformes.china.19.2022-07-22	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_30.Charadriiformes.china.19.2022-07-23	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_29.Podicipediformes.china.19.2022-07-15	H5N1	Podicipediformes_wild	Podicipediformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_35.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_37.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_china_38.Anseriformes.china.19.2022-06-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.085841	120.3403854	profile001
H5N1.EPI_ISL_11633613.Anseriformes.china.19.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_11633707.Anseriformes.china.NA.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_11633616.Anseriformes.china.19.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_11633708.Anseriformes.china.NA.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_china_20230814.Anseriformes.china.19.2021-11-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_china_20230827.Anseriformes.china.19.2021-11-22	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_china_2023087.Anseriformes.china.19.2021-11-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_china_20230840.Anseriformes.china.19.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601	profile001
H5N1.EPI_ISL_china_20230841.Anseriformes.china.19.2021-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601	profile001
H5N1.EPI_ISL_china_20230850.Anseriformes.china.19.2021-12-03	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N1.EPI_ISL_china_20230851.Anseriformes.china.19.2021-12-02	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N1.EPI_ISL_china_20230854.Suliformes.china.19.2021-12-01	H5N1	Suliformes_wild	Suliformes	eastern asia	31.844419	117.254331	profile001
H5N1.EPI_ISL_china_2023088.Anseriformes.china.19.2021-11-28	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_15647834.Anseriformes.south_korea.19.2022-10-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_18284464.Galliformes.japan.NA.2022-11-04	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.2869206	140.4245143	profile001
H5N1.EPI_ISL_17606851.Galliformes.south_korea.19.2022-02-06	H5N1	Galliformes_domestic	Galliformes	eastern asia	36.5184	126.8	profile001
H5N1.EPI_ISL_17606863.Anseriformes.south_korea.19.2022-03-02	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile001
H5N1.EPI_ISL_17606854.Galliformes.south_korea.19.2022-02-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	35.7197	127.1244	profile001
H5N1.EPI_ISL_18373244.Anseriformes.south_korea.NA.2022-02-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_17606861.Anseriformes.south_korea.19.2022-02-18	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile001
H5N1.EPI_ISL_15647836.Anseriformes.south_korea.80.2022-10-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_18284474.Anseriformes.japan.NA.2022-12-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.6551456	133.9195019	profile001
H5N1.EPI_ISL_15943002.Anseriformes.south_korea.128.2022-11-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile001
H5N1.EPI_ISL_15944663.Anseriformes.south_korea.128.2022-11-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_15943015.NA.south_korea.128.2022-11-07	H5N1	unknown	NA	eastern asia	36.5184	126.8	profile001
H5N1.EPI_ISL_18284467.Anseriformes.japan.NA.2022-11-11	H5N1	Anseriformes_wild	Anseriformes	eastern asia	34.2305113	135.1708083	profile001
H5N1.EPI_ISL_15944667.Anseriformes.south_korea.128.2022-11-21	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_18042993.Falconiformes.japan.NA.2022-10-11	H5N1	Falconiformes_wild	Falconiformes	eastern asia	36.204824	138.252924	profile001
H5N1.EPI_ISL_16388458.Anseriformes.japan.80.2022-11-23	H5N1	Anseriformes_wild	Anseriformes	eastern asia	39.7200079	140.1025642	profile001
H5N1.EPI_ISL_18130247.Passeriformes.japan.NA.2023-01-05	H5N1	Passeriformes_wild	Passeriformes	eastern asia	35.8617292	139.6454822	profile001
H5N1.EPI_ISL_16955797.Anseriformes.japan.NA.2022-12-31	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.4303031	139.0453388	profile001
H5N1.EPI_ISL_17527105.Passeriformes.japan.NA.2023-01-28	H5N1	Passeriformes_wild	Passeriformes	eastern asia	36.204824	138.252924	profile001
H5N1.EPI_ISL_18066452.Anseriformes.japan.NA.2023-02-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.2590428	140.8307874	profile001
H5N1.EPI_ISL_17638141.Galliformes.japan.80.2023-03-27	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17638143.Galliformes.japan.80.2023-04-02	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17949986.Passeriformes.japan.80.2023-02-07	H5N1	Passeriformes_wild	Passeriformes	eastern asia	37.9161924	139.0364126	profile001
H5N1.EPI_ISL_18284468.Galliformes.japan.NA.2022-12-05	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.7404223	137.3865704	profile001
H5N1.EPI_ISL_china_18.NA.china.80.2023-01-01	H5N1	unknown	NA	eastern asia	29.9488786	121.1430935	profile001
H5N1.EPI_ISL_16955767.Anseriformes.japan.NA.2022-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N1.EPI_ISL_18284472.Anseriformes.japan.NA.2022-11-26	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N1.EPI_ISL_17309163.Passeriformes.japan.NA.2023-01-19	H5N1	Passeriformes_wild	Passeriformes	eastern asia	38.2554388	140.3396017	profile001
H5N1.EPI_ISL_17309160.Falconiformes.japan.NA.2023-01-17	H5N1	Falconiformes_wild	Falconiformes	eastern asia	39.9725899	141.2125163	profile001
H5N1.EPI_ISL_17949961.Passeriformes.japan.80.2023-03-10	H5N1	Passeriformes_wild	Passeriformes	eastern asia	35.4769011	139.6294307	profile001
H5N1.EPI_ISL_18241796.Galliformes.viet_nam.NA.2023-09-05	H5N1	Galliformes_domestic	Galliformes	south-eastern asia	14.058324	108.277199	profile001
H5N1.EPI_ISL_18241793.Anseriformes.viet_nam.NA.2023-06-05	H5N1	Anseriformes_wild	Anseriformes	south-eastern asia	14.058324	108.277199	profile001
H5N1.EPI_ISL_18241798.Anseriformes.viet_nam.NA.2023-06-04	H5N1	Anseriformes_wild	Anseriformes	south-eastern asia	14.058324	108.277199	profile001
H5N1.EPI_ISL_18066455.Accipitriformes.japan.NA.2023-01-07	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	34.975562	138.38275960000001	profile001
H5N1.EPI_ISL_18066454.Gruiformes.japan.NA.2023-02-23	H5N1	Gruiformes_wild	Gruiformes	eastern asia	35.7134285	139.7623078	profile001
H5N1.EPI_ISL_18102700.Carnivora.south_korea.NA.2023-07-04	H5N1	Carnivora_wild	Carnivora	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_18284465.Galliformes.japan.NA.2022-11-01	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.3429904	134.0376604	profile001
H5N1.EPI_ISL_17414669.Falconiformes.china.NA.2022-10-09	H5N1	Falconiformes_wild	Falconiformes	eastern asia	39.904214	116.407413	profile001
H5N1.EPI_ISL_18284463.Galliformes.japan.NA.2022-11-13	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.680578	135.1652915	profile001
H5N1.EPI_ISL_18284473.Galliformes.japan.NA.2022-12-16	H5N1	Galliformes_domestic	Galliformes	eastern asia	34.3852029	132.4552927	profile001
H5N1.EPI_ISL_17949987.Anseriformes.japan.80.2022-11-26	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.6959518	137.2136768	profile001
H5N1.EPI_ISL_18284475.Galliformes.japan.NA.2022-12-21	H5N1	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile001
H5N1.EPI_ISL_16955796.Falconiformes.japan.NA.2022-12-14	H5N1	Falconiformes_wild	Falconiformes	eastern asia	38.2590428	140.8307874	profile001
H5N1.EPI_ISL_17075747.Primates.china.19.2023-02-10	H5N1	Primates_wild	Primates	eastern asia	32.0922799	118.6126374	profile001
H5N1.EPI_ISL_13352717.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N1.EPI_ISL_13352706.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N1.EPI_ISL_13352723.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N1.EPI_ISL_13352704.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N1.EPI_ISL_13352714.Anseriformes.china.NA.2021-12-17	H5N1	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N1.EPI_ISL_9221537.Anseriformes.netherlands.NA.2022-01-04	H5N1	Anseriformes_wild	Anseriformes	western europe	52.132633	5.29126599999995	profile001
H5N1.EPI_ISL_12572662.Anseriformes.china.19.2022-01-05	H5N1	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643	profile001
H5N1.EPI_ISL_14615026.Passeriformes.japan.2.2022-03-02	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17260669.Carnivora.united_states.2.2022-05-10	H5N1	Carnivora_wild	Carnivora	northern america	63.588753	-154.4930619	profile001
H5N1.EPI_ISL_14064697.Passeriformes.japan.2.2022-01-20	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_14065167.Accipitriformes.japan.2.2022-02-10	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17950253.Passeriformes.japan.2.2023-03-30	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_16955798.Charadriiformes.japan.2.2022-11-16	H5N1	Charadriiformes_wild	Charadriiformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_14064890.Passeriformes.japan.2.2022-04-01	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_14064803.Passeriformes.japan.2.2022-02-07	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_15843373.Accipitriformes.canada.2.2022-02-03	H5N1	Accipitriformes_wild	Accipitriformes	northern america	53.7266683	-127.6476206	profile001
H5N1.EPI_ISL_12174842.Carnivora.japan.2.2022-03-31	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143	profile001
H5N1.EPI_ISL_16831092.Passeriformes.japan.NA.2022-03-04	H5N1	Passeriformes_wild	Passeriformes	eastern asia	36.204824	138.252924	profile001
H5N1.EPI_ISL_17964877.Accipitriformes.united_states.2.2023-02-14	H5N1	Accipitriformes_wild	Accipitriformes	northern america	34.1270546	-117.341081	profile001
H5N1.EPI_ISL_16831026.Anseriformes.japan.NA.2022-02-08	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.204824	138.252924	profile001
H5N1.EPI_ISL_17964940.Charadriiformes.united_states.2.2023-04-13	H5N1	Charadriiformes_wild	Charadriiformes	northern america	43.8041334	-120.5542012	profile001
H5N1.EPI_ISL_17964935.Charadriiformes.united_states.2.2023-04-07	H5N1	Charadriiformes_wild	Charadriiformes	northern america	34.1270546	-117.341081	profile001
H5N1.EPI_ISL_16831319.Galliformes.japan.NA.2022-03-25	H5N1	Galliformes_domestic	Galliformes	eastern asia	38.2590428	140.8307874	profile001
H5N1.EPI_ISL_15072539.Casuariiformes.japan.2.2022-04-16	H5N1	Casuariiformes_wild	Casuariiformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_14064695.Passeriformes.japan.NA.2022-01-20	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_16698546.Accipitriformes.japan.2.2022-10-21	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	37.9161924	139.0364126	profile001
H5N1.EPI_ISL_16831664.Casuariiformes.japan.NA.2022-05-12	H5N1	Casuariiformes_wild	Casuariiformes	eastern asia	36.204824	138.252924	profile001
H5N1.EPI_ISL_15576616.Anseriformes.japan.2.2022-10-04	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.2590428	140.8307874	profile001
H5N1.EPI_ISL_16698060.Galliformes.japan.15.2022-11-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_18284461.Galliformes.japan.NA.2022-10-28	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17316075.Passeriformes.japan.15.2023-02-04	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_18007230.Passeriformes.japan.NA.2023-04-18	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_17857959.Carnivora.japan.NA.2023-02-20	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143	profile001
H5N1.EPI_ISL_18066453.Passeriformes.japan.NA.2023-02-17	H5N1	Passeriformes_wild	Passeriformes	eastern asia	33.5903547	130.4017155	profile001
H5N1.EPI_ISL_17766057.Carnivora.japan.15.2023-04-12	H5N1	Carnivora_wild	Carnivora	eastern asia	44	143	profile001
H5N1.EPI_ISL_17317373.Passeriformes.japan.15.2022-12-19	H5N1	Passeriformes_wild	Passeriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_18066451.Anseriformes.japan.NA.2023-02-09	H5N1	Anseriformes_wild	Anseriformes	eastern asia	36.3813638	139.7303175	profile001
H5N1.EPI_ISL_16698477.Galliformes.japan.2.2023-01-11	H5N1	Galliformes_domestic	Galliformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_16955829.Accipitriformes.japan.2.2022-11-23	H5N1	Accipitriformes_wild	Accipitriformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_16698576.Gruiformes.japan.2.2022-11-20	H5N1	Gruiformes_wild	Gruiformes	eastern asia	44	143	profile001
H5N1.EPI_ISL_18132953.Accipitriformes.united_states.NA.2022-04-27	H5N1	Accipitriformes_wild	Accipitriformes	northern america	63.588753	-154.4930619	profile001
H5N1.EPI_ISL_17964979.Galliformes.united_states.2.2023-05-24	H5N1	Galliformes_domestic	Galliformes	northern america	34.1270546	-117.341081	profile001
H5N1.EPI_ISL_17964883.Passeriformes.united_states.NA.2023-02-21	H5N1	Passeriformes_wild	Passeriformes	northern america	43.8041334	-120.5542012	profile001
H5N1.EPI_ISL_17051483.Anseriformes.canada.2.2023-01-16	H5N1	Anseriformes_wild	Anseriformes	northern america	53.7266683	-127.6476206	profile001
H5N1.EPI_ISL_12572664.Anseriformes.china.2.2021-11-25	H5N1	Anseriformes_wild	Anseriformes	eastern asia	38.3905141	114.8555706	profile001
H5N1.EPI_ISL_china_20230820.Anseriformes.china.2.2021-11-16	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_china_20230832.Anseriformes.china.2.2021-10-20	H5N1	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile001
H5N1.EPI_ISL_8568483.Anseriformes.croatia.NA.2021-11-22	H5N1	Anseriformes_wild	Anseriformes	southern europe	45.1	15.2	profile001
H5N1.EPI_ISL_12749687.Galliformes.israel.2.2021-10-12	H5N1	Galliformes_domestic	Galliformes	western asia	32.8404017	35.4781926000001	profile001
H5N1.EPI_ISL_18445700.Anseriformes.france.NA.2021-11-29	H5N1	Anseriformes_wild	Anseriformes	western europe	46.227638	2.21374900000001	profile001
H5N1.EPI_ISL_18458071.Anseriformes.poland.NA.2021-11-20	H5N1	Anseriformes_wild	Anseriformes	eastern europe	51.919438	19.145136	profile001
H5N1.EPI_ISL_13370625.Anseriformes.united_kingdom.3.2021-12-30	H5N1	Anseriformes_domestic	Anseriformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_13370573.Galliformes.united_kingdom.3.2021-12-13	H5N1	Galliformes_domestic	Galliformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_13370610.Galliformes.united_kingdom.3.2021-12-15	H5N1	Galliformes_domestic	Galliformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_13370632.Galliformes.united_kingdom.3.2022-01-02	H5N1	Galliformes_domestic	Galliformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_13370631.Anseriformes.united_kingdom.3.2022-01-02	H5N1	Anseriformes_domestic	Anseriformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_13369762.Anseriformes.united_kingdom.3.2021-11-17	H5N1	Anseriformes_wild	Anseriformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_17529372.Anseriformes.egypt.3.2021-12-15	H5N1	Anseriformes_wild	Anseriformes	northern africa	26.820553	30.802498	profile001
H5N1.EPI_ISL_13465456.Pelecaniformes.israel.NA.2021-11-29	H5N1	Pelecaniformes_wild	Pelecaniformes	western asia	31.046051	34.8516119999999	profile001
H5N1.EPI_ISL_13370893.Charadriiformes.united_kingdom.3.2021-12-24	H5N1	Charadriiformes_wild	Charadriiformes	northern europe	52.0190289	-0.770427400000017	profile001
H5N1.EPI_ISL_17785730.Anseriformes.austria.3.2021-12-15	H5N1	Anseriformes_wild	Anseriformes	western europe	48.2081743	16.3738189000001	profile001
H5N1.EPI_ISL_16838578.Anseriformes.russia.2.2021-08-08	H5N1	Anseriformes_wild	Anseriformes	central asia	55.1512	61.4291	profile001
H5N1.EPI_ISL_15647835.Anseriformes.south_korea.9.2022-10-19	H5N1	Anseriformes_wild	Anseriformes	eastern asia	35.907757	127.766922	profile001
H5N1.EPI_ISL_17424639.Anseriformes.united_states.9.2022-10-01	H5N1	Anseriformes_wild	Anseriformes	northern america	31.9685988	-99.9018131	profile001
H5N1.EPI_ISL_18132572.Anseriformes.united_states.NA.2022-04-27	H5N1	Anseriformes_wild	Anseriformes	northern america	63.588753	-154.4930619	profile001
H5N1.EPI_ISL_17051351.Anseriformes.canada.NA.2022-05-31	H5N1	Anseriformes_wild	Anseriformes	northern america	53.7266683	-127.6476206	profile001
H5N1.EPI_ISL_16023376.Carnivora.canada.9.2022-05-31	H5N1	Carnivora_wild	Carnivora	northern america	53.9332706	-116.5765035	profile001
H5N1.EPI_ISL_16189912.Strigiformes.canada.9.2022-04-28	H5N1	Strigiformes_wild	Strigiformes	northern america	53.9332706	-116.5765035	profile001
H5N1.EPI_ISL_17051368.Accipitriformes.canada.NA.2022-06-17	H5N1	Accipitriformes_wild	Accipitriformes	northern america	53.7266683	-127.6476206	profile001
H5N1.EPI_ISL_16240224.Galliformes.united_states.9.2022-05-09	H5N1	Galliformes_domestic	Galliformes	northern america	45.9019541	-115.7237432	profile001
H5N1.EPI_ISL_17051343.Pelecaniformes.canada.NA.2022-06-02	H5N1	Pelecaniformes_wild	Pelecaniformes	northern america	53.7266683	-127.6476206	profile001
H5N1.EPI_ISL_16183656.Anseriformes.canada.9.2022-04-27	H5N1	Anseriformes_wild	Anseriformes	northern america	53.9332706	-116.5765035	profile001
H5N1.EPI_ISL_16183504.Galliformes.canada.9.2022-05-16	H5N1	Galliformes_domestic	Galliformes	northern america	53.9332706	-116.5765035	profile001
H5N1.EPI_ISL_17051394.Pelecaniformes.canada.9.2022-08-12	H5N1	Pelecaniformes_wild	Pelecaniformes	northern america	53.7266683	-127.6476206	profile001
