tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_615073.anseriformes.kazakhstan.1.2020-09-19	H5N8	2020-09-19	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / NA / NA	2020-09-19	profile002	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_977599.anseriformes.china.1.2020-12-21	H5N8	2020-12-21	2020.97	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	beijing	cn.bj	40.1838367941588	116.40878248942	Asia / China / Shandong Province / NA / NA	2020-12-21	profile002	anseriformes	116.40878248942	40.1838367941588
H5N8.2344b.EPI_ISL_7380813.anseriformes.china.1.2021-03	H5N8	NA	NA	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-03	profile002	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260420.anseriformes.china.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-02-01	profile002	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_14775517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hebei	cn.hb	39.5182972347816	116.100714730353	Asia / China / Hebei Province / NA / NA	2021-01	profile002	anseriformes	116.100714730353	39.5182972347816
H5N8.2344b.EPI_ISL_14823424.anseriformes.china.1.2020-10-30	H5N8	2020-10-30	2020.83	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-10-30	profile002	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_2713170.anseriformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Hubei Province / NA / NA	2020-11-16	profile002	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_5260444.anseriformes.china.1.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangxi	cn.jx	27.6016362656629	115.709570895796	Asia / China / Jiangxi / NA / NA	2021-03-09	profile002	anseriformes	115.709570895796	27.6016362656629
H5N8.2344b.EPI_ISL_7381115.anseriformes.china.1.2021-06	H5N8	NA	NA	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	liaoning	cn.ln	41.2987124958383	122.600275282862	Asia / China / Liaoning Province / NA / NA	2021-06	profile002	anseriformes	122.600275282862	41.2987124958383
H5N8.2344b.EPI_ISL_625672.anseriformes.china.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	nei mongol	cn.nm	44.083329648604	113.188484632426	Asia / China / Inner Mongolia Autonomous Region / NA / NA	2020-10-17	profile002	anseriformes	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_14819900.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile002	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_1760450.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi Province / NA / NA	2020-11-10	profile002	anseriformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_5260470.anseriformes.china.1.2021-01-23	H5N8	2021-01-23	2021.06	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-01-23	profile002	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_5260462.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanxi	cn.sx	37.5496375119255	112.274268590565	Asia / China / Shanxi / NA / NA	2020-11-10	profile002	anseriformes	112.274268590565	37.5496375119255
H5N8.2344b.EPI_ISL_15435511.anseriformes.china.1.2021-01-21	H5N8	2021-01-21	2021.05	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	yunnan	cn.yn	24.9645779206387	101.495556215566	Asia / China / Yunnan Province / Huize Black-necked Crane National Nature Reserve, Yunnan Province,China / NA	2021-01-21	profile002	anseriformes	101.495556215566	24.9645779206387
H5N8.2344b.EPI_ISL_1041167.anseriformes.japan.1.2021-01-23	H5N8	2021-01-23	2021.06	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	Asia / Japan / Chiba / NA / NA	2021-01-23	profile002	anseriformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_978915.anseriformes.japan.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	ibaraki	jp.ib	36.3027610877484	140.318971903473	Asia / Japan / Ibaraki / NA / NA	2021-02-01	profile002	anseriformes	140.318971903473	36.3027610877484
H5N8.2344b.EPI_ISL_985211.anseriformes.south_korea.1.2020-12-28	H5N8	2020-12-28	2020.99	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-12-28	profile002	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_1009710.anseriformes.south_korea.1.2020-11-17	H5N8	2020-11-17	2020.88	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeju	kr.cj	33.3869876346889	126.553618799527	Asia / Korea / JJ / NA / NA	2020-11-17	profile002	anseriformes	126.553618799527	33.3869876346889
H5N8.2344b.EPI_ISL_985196.anseriformes.south_korea.1.2020-12-16	H5N8	2020-12-16	2020.96	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-16	profile002	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009692.anseriformes.south_korea.1.2021-01-05	H5N8	2021-01-05	2021.01	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / CB / NA / NA	2021-01-05	profile002	anseriformes	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_985194.anseriformes.south_korea.1.2020-12-14	H5N8	2020-12-14	2020.95	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-14	profile002	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_985197.anseriformes.south_korea.1.2020-12-20	H5N8	2020-12-20	2020.97	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-12-20	profile002	anseriformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_1009694.anseriformes.south_korea.1.2021-01-09	H5N8	2021-01-09	2021.02	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeongsangnam-do	kr.kn	35.3225325644814	128.261669154089	Asia / Korea / GN / NA / NA	2021-01-09	profile002	anseriformes	128.261669154089	35.3225325644814
H5N8.2344b.EPI_ISL_2932609.anseriformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Timiryazevsky district, Timiryazevo village / NA	2020-09-15	profile002	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_7381183.anseriformes.china.279.2021-04	H5N8	NA	NA	2021-04-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong Province / NA / NA	2021-04	profile002	anseriformes	118.136153809721	36.3536638777003
H5N6.NA.EPI_ISL_18058054.anseriformes.china.NA.2021-03-12	H5N6	2021-03-12	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	NA	2021-03-12	profile002	anseriformes	118.136153809721	36.3536638777003
H5N8.NA.EPI_ISL_9572698.anseriformes.china.NA.2020-11-19	H5N8	2020-11-19	2020.88	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanghai	cn.sh	31.1960430849676	121.454488171451	NA	2020-11-19	profileNA	anseriformes	121.454488171451	31.1960430849676
H5N8.NA.EPI_ISL_15433349.anseriformes.china.NA.2021-01-21	H5N8	2021-01-21	2021.05	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	yunnan	cn.yn	24.9645779206387	101.495556215566	NA	2021-01-21	profileNA	anseriformes	101.495556215566	24.9645779206387
H5N8.NA.EPI_ISL_17086347.anseriformes.japan.NA.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	NA	2021-02-04	profile002	anseriformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_5260465.pelecaniformes.china.1.2021-01-26	H5N8	2021-01-26	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangsu	cn.js	32.9645721858222	119.470797338049	Asia / China / Jiangsu / NA / NA	2021-01-26	profile002	pelecaniformes	119.470797338049	32.9645721858222
H5N8.2344b.EPI_ISL_2932682.columbiformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA	2020-09-15	profile002	columbiformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_2932617.passeriformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA	2020-09-15	profile002	passeriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_1098830.gruiformes.japan.1.2021-01-19	H5N8	2021-01-19	2021.05	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / Kagoshima / NA / NA	2021-01-19	profile002	gruiformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_2713314.charadriiformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Hubei Province / NA / NA	2020-11-16	profile002	charadriiformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_7381026.galliformes.china.1.2021-03	H5N8	NA	NA	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	liaoning	cn.ln	41.2987124958383	122.600275282862	Asia / China / Liaoning Province / NA / NA	2021-03	profile002	galliformes	122.600275282862	41.2987124958383
H5N8.2344b.EPI_ISL_985222.galliformes.japan.1.2021-02-06	H5N8	2021-02-06	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	Asia / Japan / Chiba / NA / NA	2021-02-06	profile002	galliformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_978902.galliformes.japan.1.2021-01-30	H5N8	2021-01-30	2021.08	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyazaki	jp.mz	32.1919114758892	131.298614512671	Asia / Japan / Miyazaki / NA / NA	2021-01-30	profile002	galliformes	131.298614512671	32.1919114758892
H5N8.2344b.EPI_ISL_1009688.galliformes.south_korea.1.2021-01-01	H5N8	2021-01-01	2021	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2021-01-01	profile002	galliformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009690.galliformes.south_korea.1.2021-01-04	H5N8	2021-01-04	2021.01	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2021-01-04	profile002	galliformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_985207.galliformes.south_korea.1.2020-12-25	H5N8	2020-12-25	2020.98	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeongsangbuk-do	kr.kb	36.3474789243827	128.748576389097	Asia / Korea / GB / NA / NA	2020-12-25	profile002	galliformes	128.748576389097	36.3474789243827
H5N8.2344b.EPI_ISL_1009682.galliformes.south_korea.1.2020-12-29	H5N8	2020-12-29	2020.99	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-12-29	profile002	galliformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_2932616.galliformes.kazakhstan.1.2020-09-19	H5N8	2020-09-19	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Akzhar district, Talshyk, Kazanskoe village / NA	2020-09-19	profile002	galliformes	69.2722074369824	53.8421826489217
H5N8.NA.EPI_ISL_17086350.galliformes.japan.NA.2021-02-11	H5N8	2021-02-11	2021.11	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	NA	2021-02-11	profile002	galliformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_5260467.podicipediformes.china.1.2021-06-05	H5N8	2021-06-05	2021.42	2021-06-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi / NA / NA	2021-06-05	profile002	podicipediformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_1939617.strigiformes.china.1.2020-11-11	H5N8	2020-11-11	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-11	profile002	strigiformes	113.614527263456	33.8761853651454
H5N8.NA.EPI_ISL_17086355.environment.japan.NA.2021-02-14	H5N8	2021-02-14	2021.12	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	nagano	jp.nn	36.1299846593869	138.044001511612	NA	2021-02-14	profile002	environment	138.044001511612	36.1299846593869
H5N8.2344b.EPI_ISL_1009707.na.south_korea.1.2020-12-14	H5N8	2020-12-14	2020.95	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / CB / NA / NA	2020-12-14	profile002	na	127.830446360213	36.737850075983
H5N8.NA.EPI_ISL_14778363.na.china.NA.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	NA	NA	NA	NA	NA	2020-11-25	profile002	na	103.513718494908	36.6848135465548
H5N8.2344b.EPI_ISL_2820261.anseriformes.china.10.2020-10-15	H5N8	2020-10-15	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2020-10-15	profile001	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_697771.anseriformes.japan.10.2020-10-24	H5N8	2020-10-24	2020.81	2020-10-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hokkaido	jp.hk	43.3824165431654	142.542521870972	Asia / Japan / Hokkaido / NA / NA	2020-10-24	profile001	anseriformes	142.542521870972	43.3824165431654
H5N8.2344b.EPI_ISL_16718466.anseriformes.japan.10.2020-12-18	H5N8	2020-12-18	2020.96	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2020-12-18	profile001	anseriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_681281.anseriformes.japan.10.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	niigata	jp.ni	37.5201743528051	138.914818034069	Asia / Japan / Niigata / NA / NA	2020-11-16	profile001	anseriformes	138.914818034069	37.5201743528051
H5N8.2344b.EPI_ISL_985179.anseriformes.south_korea.10.2020-11-26	H5N8	2020-11-26	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-11-26	profile001	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_1009702.anseriformes.south_korea.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-01	profile001	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_631824.anseriformes.south_korea.10.2020-10-21	H5N8	2020-10-21	2020.8	2020-10-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / Chungcheongbuk-do / NA / NA	2020-10-21	profile001	anseriformes	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_1009705.anseriformes.south_korea.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-01	profile001	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_1009696.anseriformes.south_korea.10.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-11-10	profile001	anseriformes	127.181023197189	37.5315346337798
H5N8.NA.EPI_ISL_17086223.anseriformes.japan.NA.2020-11-30	H5N8	2020-11-30	2020.91	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyazaki	jp.mz	32.1919114758892	131.298614512671	NA	2020-11-30	profile001	anseriformes	131.298614512671	32.1919114758892
H5N8.NA.EPI_ISL_4105052.anseriformes.japan.NA.2020-01-01	H5N8	2020-01-01	2020	2020-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	niigata	jp.ni	37.5201743528051	138.914818034069	NA	2020-01-01	profile001	anseriformes	138.914818034069	37.5201743528051
H5N8.2344b.EPI_ISL_681285.galliformes.japan.10.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hyōgo	jp.hg	35.0390049694389	134.828550655208	Asia / Japan / Hyogo / NA / NA	2020-11-25	profile001	galliformes	134.828550655208	35.0390049694389
H5N8.2344b.EPI_ISL_708712.galliformes.japan.10.2020-12-01	H5N8	2020-12-01	2020.92	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagawa	jp.kg	34.217379070784	133.968927545016	Asia / Japan / Kagawa / NA / NA	2020-12-01	profile001	galliformes	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_16405673.environment.japan.10.2020-12-07	H5N8	2020-12-07	2020.93	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2020-12-07	profile001	environment	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_17805868.environment.japan.10.2020-11-30	H5N8	2020-11-30	2020.91	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	NA	NA	NA	NA	Asia / Japan / NA / NA / NA	2020-11-30	profile001	environment	137.574137168765	37.3996665395305
H5N8.NA.EPI_ISL_17086228.environment.japan.NA.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	hyōgo	jp.hg	35.0390049694389	134.828550655208	NA	2020-11-25	profile001	environment	134.828550655208	35.0390049694389
H5N8.NA.EPI_ISL_17086225.environment.japan.NA.2020-11-11	H5N8	2020-11-11	2020.86	2020-11-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagawa	jp.kg	34.217379070784	133.968927545016	NA	2020-11-11	profile001	environment	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_17805901.na.japan.10.2020-12-18	H5N8	2020-12-18	2020.96	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	NA	NA	NA	NA	Asia / Japan / NA / NA / NA	2020-12-18	profile001	na	137.574137168765	37.3996665395305
H5N8.2344b.EPI_ISL_16718460.accipitriformes.japan.16.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2021-02-01	profile001	accipitriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_1184518.accipitriformes.japan.16.2021-02-24	H5N8	2021-02-24	2021.15	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	toyama	jp.ty	36.6374969915777	137.269020761504	Asia / Japan / Toyama / NA / NA	2021-02-24	profile001	accipitriformes	137.269020761504	36.6374969915777
H5N8.2344b.EPI_ISL_14770166.anseriformes.china.16.2020-11-23	H5N8	2020-11-23	2020.89	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / NA / NA / NA	2020-11-23	profile001	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_1063533.anseriformes.japan.16.2020-12-22	H5N8	2020-12-22	2020.97	2020-12-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / Kagoshima / NA / NA	2020-12-22	profile001	anseriformes	130.419711465505	30.9949222722596
