tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_5260470.anseriformes.china.1.2021-01-23	H5N8	2021-01-23	2021.06	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-01-23	profile003	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_1760453.anseriformes.china.1.2020-11-10	H5N8	2020-11-10	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shanxi	cn.sx	37.5496375119255	112.274268590565	Asia / China / Shanxi Province / NA / NA	2020-11-10	profile003	anseriformes	112.274268590565	37.5496375119255
H5N8.2344b.EPI_ISL_14822756.anseriformes.china.1.2021-05-19	H5N8	2021-05-19	2021.38	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	xizang	cn.xz	31.7354796576819	88.2546629070738	Asia / China / Tibet Autonomous Region / NA / NA	2021-05-19	profile003	anseriformes	88.2546629070738	31.7354796576819
H5N8.2344b.EPI_ISL_1080579.anseriformes.czechia.1.2021-02-14	H5N8	2021-02-14	2021.12	2021-02-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	liberecký	cz.lk	50.7015712481419	14.9927241891218	Europe / Czech Republic / Liberecky Kraj / Okres Liberec / Prisovice, pond Velky pisecak, GPS: 50Â°3413.630N,	2021-02-14	profile003	anseriformes	14.9927241891218	50.7015712481419
H5N8.2344b.EPI_ISL_978916.anseriformes.japan.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	ibaraki	jp.ib	36.3027610877484	140.318971903473	Asia / Japan / Ibaraki / NA / NA	2021-02-01	profile003	anseriformes	140.318971903473	36.3027610877484
H5N8.2344b.EPI_ISL_1114725.anseriformes.japan.1.2021-01-16	H5N8	2021-01-16	2021.04	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / Kagoshima / NA / NA	2021-01-16	profile003	anseriformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_17805905.anseriformes.japan.1.2021-01-16	H5N8	2021-01-16	2021.04	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	NA	NA	NA	NA	Asia / Japan / NA / NA / NA	2021-01-16	profile003	anseriformes	137.574137168765	37.3996665395305
H5N8.2344b.EPI_ISL_1009685.anseriformes.south_korea.1.2020-12-30	H5N8	2020-12-30	2020.99	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollabuk-do	kr.cb	35.7159281817874	127.140659781938	Asia / Korea / JB / NA / NA	2020-12-30	profile003	anseriformes	127.140659781938	35.7159281817874
H5N8.2344b.EPI_ISL_1009710.anseriformes.south_korea.1.2020-11-17	H5N8	2020-11-17	2020.88	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeju	kr.cj	33.3869876346889	126.553618799527	Asia / Korea / JJ / NA / NA	2020-11-17	profile003	anseriformes	126.553618799527	33.3869876346889
H5N8.2344b.EPI_ISL_985196.anseriformes.south_korea.1.2020-12-16	H5N8	2020-12-16	2020.96	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2020-12-16	profile003	anseriformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009692.anseriformes.south_korea.1.2021-01-05	H5N8	2021-01-05	2021.01	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongbuk-do	kr.gb	36.737850075983	127.830446360213	Asia / Korea / CB / NA / NA	2021-01-05	profile003	anseriformes	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_985205.anseriformes.south_korea.1.2020-12-24	H5N8	2020-12-24	2020.98	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2020-12-24	profile003	anseriformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_1009698.anseriformes.south_korea.1.2020-11-25	H5N8	2020-11-25	2020.9	2020-11-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeonggi-do	kr.kg	37.5315346337798	127.181023197189	Asia / Korea / GG / NA / NA	2020-11-25	profile003	anseriformes	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_615072.anseriformes.kazakhstan.1.2020-09-25	H5N8	2020-09-25	2020.73	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	qostanay	kz.qs	51.5322283786231	64.0853293002361	Asia / Kazakhstan / Kostanay / NA / NA	2020-09-25	profile003	anseriformes	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_1139172.anseriformes.netherlands.1.2020-11-26	H5N8	2020-11-26	2020.9	2020-11-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	zuid-holland	na	51.9374604216783	4.46477045234472	Europe / Netherlands / South Holland / Stellendam / NA	2020-11-26	profile003	anseriformes	4.46477045234472	51.9374604216783
H5N8.2344b.EPI_ISL_1139014.anseriformes.netherlands.1.2020-10-27	H5N8	2020-10-27	2020.82	2020-10-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	gelderland	nl.ge	52.0617180422494	5.94466833784019	Europe / Netherlands / Provincie Groningen / Lauwersoog / NA	2020-10-27	profile003	anseriformes	5.94466833784019	52.0617180422494
H5N8.2344b.EPI_ISL_1139097.anseriformes.netherlands.1.2020-11-04	H5N8	2020-11-04	2020.84	2020-11-01	western europe	netherlands	nld	52.2573048104135	5.56251311224367	utrecht	nl.ut	52.083727924893	5.16763788059654	Europe / Netherlands / Provincie Utrecht / Waverveen / NA	2020-11-04	profile003	anseriformes	5.16763788059654	52.083727924893
H5N8.2344b.EPI_ISL_739684.anseriformes.russia.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	russia	rus	66.0376616061812	95.7970903417469	novosibirsk	ru.ns	55.2762232202593	79.7845914423443	Europe / Russia / Novosibirsk region / NA / NA	2020-09-15	profile003	anseriformes	79.7845914423443	55.2762232202593
H5N8.2344b.EPI_ISL_644132.anseriformes.russia.1.2020-08-17	H5N8	2020-08-17	2020.63	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	omsk	ru.om	56.0596108837778	73.3669499849514	Europe / Russia / Omsk Oblast / Omsk / NA	2020-08-17	profile003	anseriformes	73.3669499849514	56.0596108837778
H5N8.2344b.EPI_ISL_1665263.anseriformes.slovenia.1.2020-11-17	H5N8	2020-11-17	2020.88	2020-11-01	southern europe	slovenia	svn	46.124137393352	14.813678667363	NA	NA	NA	NA	Europe / Slovenia / NA / NA / NA	2020-11-17	profile003	anseriformes	14.813678667363	46.124137393352
H5N8.2344b.EPI_ISL_5863497.anseriformes.united_states.1.2020-10-27	H5N8	2020-10-27	2020.82	2020-10-01	northern america	united states	usa	44.75294654392	-103.651025114044	georgia	us.ga	32.6403385373358	-83.4405725551842	Asia / Georgia / NA / NA / NA	2020-10-27	profile003	anseriformes	-83.4405725551842	32.6403385373358
H5N3.2344b.EPI_ISL_5863749.anseriformes.united_states.289.2020-10-20	H5N3	2020-10-20	2020.8	2020-10-01	northern america	united states	usa	44.75294654392	-103.651025114044	georgia	us.ga	32.6403385373358	-83.4405725551842	Asia / Georgia / NA / NA / NA	2020-10-20	profile003	anseriformes	-83.4405725551842	32.6403385373358
H5N8.NA.EPI_ISL_14838179.anseriformes.china.NA.2020-12-12	H5N8	2020-12-12	2020.95	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	NA	2020-12-12	profileNA	anseriformes	113.614527263456	33.8761853651454
H5N8.NA.EPI_ISL_14823405.anseriformes.china.NA.2021-01-27	H5N8	2021-01-27	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	NA	2021-01-27	profileNA	anseriformes	112.277189482252	30.9806813015582
H5N8.NA.EPI_ISL_14819899.anseriformes.china.NA.2021-03-09	H5N8	2021-03-09	2021.18	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	NA	2021-03-09	profileNA	anseriformes	106.161545856493	37.2602231520297
H5N8.NA.EPI_ISL_8215656.anseriformes.china.NA.2021-05-15	H5N8	2021-05-15	2021.37	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	xizang	cn.xz	31.7354796576819	88.2546629070738	NA	2021-05-15	profile003	anseriformes	88.2546629070738	31.7354796576819
H5N8.NA.EPI_ISL_17086347.anseriformes.japan.NA.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	NA	2021-02-04	profile003	anseriformes	140.198261340312	35.5094511865639
H5N8.NA.EPI_ISL_15613488.anseriformes.japan.NA.2021-01-24	H5N8	2021-01-24	2021.06	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyazaki	jp.mz	32.1919114758892	131.298614512671	NA	2021-01-24	profile003	anseriformes	131.298614512671	32.1919114758892
H5N8.2344b.EPI_ISL_5260465.pelecaniformes.china.1.2021-01-26	H5N8	2021-01-26	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangsu	cn.js	32.9645721858222	119.470797338049	Asia / China / Jiangsu / NA / NA	2021-01-26	profile003	pelecaniformes	119.470797338049	32.9645721858222
H5N8.2344b.EPI_ISL_2932682.columbiformes.kazakhstan.1.2020-09-15	H5N8	2020-09-15	2020.7	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Petropavlovsk city / NA	2020-09-15	profile003	columbiformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_16718465.gruiformes.japan.1.2021-01-16	H5N8	2021-01-16	2021.04	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	kagoshima	jp.ks	30.9949222722596	130.419711465505	Asia / Japan / NA / NA / NA	2021-01-16	profile003	gruiformes	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_1038924.na.russia.1.2020-12-12	H5N8	2020-12-12	2020.95	2020-12-01	eastern europe	russia	rus	66.0376616061812	95.7970903417469	astrakhan'	ru.as	47.1064465901659	47.3587677312838	Europe / Russia / Astrakhan Oblast / NA / NA	2020-12-12	profile003	na	47.3587677312838	47.1064465901659
H5N8.2344b.EPI_ISL_2713314.charadriiformes.china.1.2020-11-16	H5N8	2020-11-16	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Hubei Province / NA / NA	2020-11-16	profile003	charadriiformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_5260416.charadriiformes.china.1.2021-02-22	H5N8	2021-02-22	2021.14	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / Shandong / NA / NA	2021-02-22	profile003	charadriiformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_5260417.charadriiformes.china.1.2021-05-16	H5N8	2021-05-16	2021.37	2021-05-01	eastern asia	china	chn	36.6848135465548	103.513718494908	xizang	cn.xz	31.7354796576819	88.2546629070738	Asia / China / Tibet / NA / NA	2021-05-16	profile003	charadriiformes	88.2546629070738	31.7354796576819
H5N8.2344b.EPI_ISL_3128523.pelecaniformes.greece.1.2021-03-22	H5N8	2021-03-22	2021.22	2021-03-01	southern europe	greece	grc	39.0148672656421	22.9963034984317	macedonia and thrace	gr.mh	40.9283505289806	23.8878976832222	Europe / Greece / Serres / NA / NA	2021-03-22	profile003	pelecaniformes	23.8878976832222	40.9283505289806
H5N8.2344b.EPI_ISL_16215736.galliformes.china.1.2020-12	H5N8	NA	NA	2020-12-01	eastern asia	china	chn	36.6848135465548	103.513718494908	NA	NA	NA	NA	Asia / China / NA / NA / NA	2020-12	profile003	galliformes	103.513718494908	36.6848135465548
H5N8.2344b.EPI_ISL_1191587.galliformes.czechia.1.2021-01-22	H5N8	2021-01-22	2021.06	2021-01-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	jihočeský	cz.ck	49.0928166218663	14.4391547985202	Europe / Czech Republic / Jihocesky Kraj / Okres Tabor / Dlouha Lhota/Chynov; GPS 49.3561703 N, 14.7742128 E	2021-01-22	profile003	galliformes	14.4391547985202	49.0928166218663
H5N8.2344b.EPI_ISL_1399235.galliformes.czechia.1.2021-03-06	H5N8	2021-03-06	2021.18	2021-03-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	středočeský	cz.sk	49.9969098943343	14.5545810187162	Europe / Czech Republic / Stredocesky Kraj / Okres Mlada Boleslav / Brezno	2021-03-06	profile003	galliformes	14.5545810187162	49.9969098943343
H5N8.2344b.EPI_ISL_5115614.galliformes.germany.1.2021-02-26	H5N8	2021-02-26	2021.15	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	berlin	de.be	52.5015246825321	13.4019638192194	Europe / Germany / Berlin / Berlin,Stadt / NA	2021-02-26	profile003	galliformes	13.4019638192194	52.5015246825321
H5N8.2344b.EPI_ISL_5115968.galliformes.germany.1.2021-03-04	H5N8	2021-03-04	2021.17	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	brandenburg	de.br	52.4686720071996	13.4043192497063	Europe / Germany / Brandenburg / MÃ¤rkisch-Oderland / NA	2021-03-04	profile003	galliformes	13.4043192497063	52.4686720071996
H5N8.2344b.EPI_ISL_985223.galliformes.japan.1.2021-02-06	H5N8	2021-02-06	2021.1	2021-02-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	chiba	jp.ch	35.5094511865639	140.198261340312	Asia / Japan / Chiba / NA / NA	2021-02-06	profile003	galliformes	140.198261340312	35.5094511865639
H5N8.2344b.EPI_ISL_978904.galliformes.japan.1.2021-01-30	H5N8	2021-01-30	2021.08	2021-01-01	eastern asia	japan	jpn	37.3996665395305	137.574137168765	miyazaki	jp.mz	32.1919114758892	131.298614512671	Asia / Japan / Miyazaki / NA / NA	2021-01-30	profile003	galliformes	131.298614512671	32.1919114758892
H5N8.2344b.EPI_ISL_1009688.galliformes.south_korea.1.2021-01-01	H5N8	2021-01-01	2021	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	jeollanam-do	kr.cn	34.8733358026855	126.897223705092	Asia / Korea / JN / NA / NA	2021-01-01	profile003	galliformes	126.897223705092	34.8733358026855
H5N8.2344b.EPI_ISL_1009689.galliformes.south_korea.1.2021-01-03	H5N8	2021-01-03	2021.01	2021-01-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	chungcheongnam-do	kr.gn	36.5298116066164	126.847825775926	Asia / Korea / CN / NA / NA	2021-01-03	profile003	galliformes	126.847825775926	36.5298116066164
H5N8.2344b.EPI_ISL_985207.galliformes.south_korea.1.2020-12-25	H5N8	2020-12-25	2020.98	2020-12-01	eastern asia	south korea	kor	36.341057964317	127.784630688405	gyeongsangbuk-do	kr.kb	36.3474789243827	128.748576389097	Asia / Korea / GB / NA / NA	2020-12-25	profile003	galliformes	128.748576389097	36.3474789243827
