scientificName,class,order,family,vernacularName
Neotoma floridana,Mammalia,Rodentia,Cricetidae,eastern woodrat
Myotis emarginatus,Mammalia,Chiroptera,Vespertilionidae,geoffroy's myotis
Reithrodontomys chrysopsis,Mammalia,Rodentia,Cricetidae,volcano harvest mouse
Glauconycteris atra,Mammalia,Chiroptera,Vespertilionidae,blackish butterfly bat
Sigmodon hirsutus,Mammalia,Rodentia,Cricetidae,southern cotton rat
Akodon azarae,Mammalia,Rodentia,Cricetidae,azara's akodont
Myotis ancricola,Mammalia,Chiroptera,Vespertilionidae,valley myotis
Pseudoromicia tenuipinnis,Mammalia,Chiroptera,Vespertilionidae,slender-winged pipistrelle bat
Marmota kastschenkoi,Mammalia,Rodentia,Sciuridae,forest steppe marmot
Tonatia saurophila,Mammalia,Chiroptera,Phyllostomidae,stripe-headed round-eared bat
Micronycteris microtis,Mammalia,Chiroptera,Phyllostomidae,common big-eared bat
Hypsugo pulveratus,Mammalia,Chiroptera,Vespertilionidae,chinese pipistrelle
Emballonura monticola,Mammalia,Chiroptera,Emballonuridae,lesser sheath-tailed bat
Microtus socialis,Mammalia,Rodentia,Cricetidae,social vole
Alticola albicaudus,Mammalia,Rodentia,Cricetidae,white-tailed mountain vole
Myotis insularum,Mammalia,Chiroptera,Vespertilionidae,insular myotis
Myotis annamiticus,Mammalia,Chiroptera,Vespertilionidae,annamit myotis
Sciurotamias davidianus,Mammalia,Rodentia,Sciuridae,père david's rock squirrel
Alticola montosa,Mammalia,Rodentia,Cricetidae,central kashmir vole
Lophostoma brasiliense,Mammalia,Chiroptera,Phyllostomidae,pygmy round-eared bat
Macaca sylvanus,Mammalia,Primates,Cercopithecidae,barbary macaque
Cercocebus agilis,Mammalia,Primates,Cercopithecidae,agile mangabey
Presbytis siamensis,Mammalia,Primates,Cercopithecidae,pale-thighed langur
Rungwecebus kipunji,Mammalia,Primates,Cercopithecidae,highland mangabey
Nasalis larvatus,Mammalia,Primates,Cercopithecidae,proboscis monkey
Lichonycteris obscura,Mammalia,Chiroptera,Phyllostomidae,dark long-tongued bat
Colobus angolensis,Mammalia,Primates,Cercopithecidae,angola colobus
Pygathrix nigripes,Mammalia,Primates,Cercopithecidae,black-shanked douc
Platyrrhinus brachycephalus,Mammalia,Chiroptera,Phyllostomidae,short-headed broad-nosed bat
Trachypithecus selangorensis,Mammalia,Primates,Cercopithecidae,selangor silvery langur
Colobus caudatus,Mammalia,Primates,Cercopithecidae,mount kilimanjaro guereza
Pygathrix cinerea,Mammalia,Primates,Cercopithecidae,gray-shanked douc
Piliocolobus rufomitratus,Mammalia,Primates,Cercopithecidae,tana river red colobus
Cercopithecus nictitans,Mammalia,Primates,Cercopithecidae,greater spot-nosed monkey
Platyrrhinus fusciventris,Mammalia,Chiroptera,Phyllostomidae,brown-bellied broad-nosed bat
Vampyriscus brocki,Mammalia,Chiroptera,Phyllostomidae,brock's yellow-eared bat
Vampyressa pusilla,Mammalia,Chiroptera,Phyllostomidae,little yellow-eared bat
Semnopithecus vetulus,Mammalia,Primates,Cercopithecidae,purple-faced langur
Semnopithecus priam,Mammalia,Primates,Cercopithecidae,tufted gray langur
Presbytis comata,Mammalia,Primates,Cercopithecidae,grizzled leaf monkey
Centurio senex,Mammalia,Chiroptera,Phyllostomidae,wrinkle-faced bat
Macaca fuscata,Mammalia,Primates,Cercopithecidae,japanese macaque
Anoura peruana,Mammalia,Chiroptera,Phyllostomidae,tschudi's tailless bat
Trachypithecus popa,Mammalia,Primates,Cercopithecidae,popa langur
Platyrrhinus umbratus,Mammalia,Chiroptera,Phyllostomidae,shadowy broad-nosed bat
Phyllonycteris poeyi,Mammalia,Chiroptera,Phyllostomidae,cuban flower bat
Artibeus jamaicensis,Mammalia,Chiroptera,Phyllostomidae,jamaican fruit-eating bat
Artibeus watsoni,Mammalia,Chiroptera,Phyllostomidae,thomas's fruit-eating bat
Mustela frenata,Mammalia,Carnivora,Mustelidae,long-tailed weasel
Genetta bourloni,Mammalia,Carnivora,Viverridae,bourlon's genet
Petrogale inornata,Mammalia,Diprotodontia,Macropodidae,unadorned rock-wallaby
Pteropus ornatus,Mammalia,Chiroptera,Pteropodidae,ornate flying fox
Lenomys meyeri,Mammalia,Rodentia,Muridae,meyer's lenomys
Pelomys campanae,Mammalia,Rodentia,Muridae,angolan pelomys
Blanfordimys juldaschi,Mammalia,Rodentia,Cricetidae,NA
Hapalemur griseus,Mammalia,Primates,Lemuridae,gray bamboo lemur
Eumops nanus,Mammalia,Chiroptera,Molossidae,northern dwarf bonneted bat
Dendromus nyasae,Mammalia,Rodentia,Nesomyidae,kivu african climbing mouse
Apomys musculus,Mammalia,Rodentia,Muridae,least philippine apomys
Maxomys wattsi,Mammalia,Rodentia,Muridae,watts's sulawesi maxomys
Neodon forresti,Mammalia,Rodentia,Cricetidae,forrest's mountain vole
Kerivoula lenis,Mammalia,Chiroptera,Vespertilionidae,lenis woolly bat
Eoglaucomys fimbriatus,Mammalia,Rodentia,Sciuridae,kashmir flying squirrel
Hylobates muelleri,Mammalia,Primates,Hylobatidae,borneo gibbon
Graphiurus johnstoni,Mammalia,Rodentia,Gliridae,johnston's african dormouse
Brachytarsomys villosa,Mammalia,Rodentia,Nesomyidae,hairy-tailed antsangy
Oecomys flavicans,Mammalia,Rodentia,Cricetidae,tawny oecomys
Murina recondita,Mammalia,Chiroptera,Vespertilionidae,dun tube-nosed bat
Peromyscus nasutus,Mammalia,Rodentia,Cricetidae,northern rock deermouse
Leptomys paulus,Mammalia,Rodentia,Muridae,NA
Cerradomys subflavus,Mammalia,Rodentia,Cricetidae,flavescent oryzomys
Niviventer coninga,Mammalia,Rodentia,Muridae,spiny taiwan niviventer
Taeromys callitrichus,Mammalia,Rodentia,Muridae,greater taeromys
Proedromys bedfordi,Mammalia,Rodentia,Cricetidae,duke of bedford's vole
Oligoryzomys arenalis,Mammalia,Rodentia,Cricetidae,sandy colilargo
Murina harpioloides,Mammalia,Chiroptera,Vespertilionidae,vietnamese tube-nosed bat
Leopoldamys siporanus,Mammalia,Rodentia,Muridae,mentawai archipelago leopoldamys
Spalax uralensis,Mammalia,Rodentia,Spalacidae,kazakhstan blind mole rat
Saccolaimus peli,Mammalia,Chiroptera,Emballonuridae,black-hawk bat
Kerodon acrobata,Mammalia,Rodentia,Caviidae,climbing cavy
Cannomys badius,Mammalia,Rodentia,Spalacidae,lesser bamboo rat
Rhipidomys mastacalis,Mammalia,Rodentia,Cricetidae,atlantic forest rhipidomys
Plecturocebus oenanthe,Mammalia,Primates,Pitheciidae,rio mayo titi
Apodemus semotus,Mammalia,Rodentia,Muridae,taiwan field mouse
Lonchorhina inusitata,Mammalia,Chiroptera,Phyllostomidae,uncommon sword-nosed bat
Epomops buettikoferi,Mammalia,Chiroptera,Pteropodidae,buettikofer's epauletted bat
Thomasomys baeops,Mammalia,Rodentia,Cricetidae,beady-eyed mouse
Cricetus cricetus,Mammalia,Rodentia,Cricetidae,black-bellied hamster
Habromys ixtlani,Mammalia,Rodentia,Cricetidae,ixtlán deermouse
Melomys burtoni,Mammalia,Rodentia,Muridae,grassland melomys
Juscelinomys candango,Mammalia,Rodentia,Cricetidae,candango akodont
Rattus giluwensis,Mammalia,Rodentia,Muridae,mount giluwe rat
Apodemus witherbyi,Mammalia,Rodentia,Muridae,steppe field mouse
Sorex unguiculatus,Mammalia,Soricomorpha,Soricidae,long-clawed shrew
Tachyoryctes annectens,Mammalia,Rodentia,Spalacidae,mianzini african mole rat
Rhipidomys couesi,Mammalia,Rodentia,Cricetidae,coues' rhipidomys
Plecturocebus moloch,Mammalia,Primates,Pitheciidae,red-bellied titi
Apomys abrae,Mammalia,Rodentia,Muridae,luzon cordillera apomys
Balionycteris maculata,Mammalia,Chiroptera,Pteropodidae,bornean spotted-winged fruit bat
Harpyionycteris whiteheadi,Mammalia,Chiroptera,Pteropodidae,harpy fruit bat
Aethomys bocagei,Mammalia,Rodentia,Muridae,bocage's aethomys
Thomasomys eleusis,Mammalia,Rodentia,Cricetidae,peruvian oldfield mouse
Cricetulus barabensis,Mammalia,Rodentia,Cricetidae,striped dwarf hamster
Chaerephon ansorgei,Mammalia,Chiroptera,Molossidae,ansorge's free-tailed bat
Sorex buchariensis,Mammalia,Soricomorpha,Soricidae,buchara shrew
Pteropus ennisae,Mammalia,Chiroptera,Pteropodidae,new ireland masked flying fox
Pseudomys delicatulus,Mammalia,Rodentia,Muridae,delicate pseudomys
Rhombomys opimus,Mammalia,Rodentia,Muridae,great gerbil
Neoplatymops mattogrossensis,Mammalia,Chiroptera,Molossidae,mato grosso dog-faced bat
Brucepattersonius misionensis,Mammalia,Rodentia,Cricetidae,misiones akodont
Avahi occidentalis,Mammalia,Primates,Indriidae,western woolly lemur
Notocitellus adocetus,Mammalia,Rodentia,Sciuridae,tropical ground squirrel
Sundasciurus mindanensis,Mammalia,Rodentia,Sciuridae,mindanao squirrel
Proechimys quadruplicatus,Mammalia,Rodentia,Echimyidae,napo spiny-rat
Sorex arcticus,Mammalia,Soricomorpha,Soricidae,arctic shrew
Hylomyscus alleni,Mammalia,Rodentia,Muridae,allen's hylomyscus
Vernaya fulva,Mammalia,Rodentia,Muridae,vernay's climbing mouse
Rattus blangorum,Mammalia,Rodentia,Muridae,aceh rat
Zaglossus attenboroughi,Mammalia,Monotremata,Tachyglossidae,sir david's long-beaked echidna
Tachyglossus aculeatus,Mammalia,Monotremata,Tachyglossidae,short-beaked echidna
Zaglossus bruijni,Mammalia,Monotremata,Tachyglossidae,new guinean echidna
Zaglossus bartoni,Mammalia,Monotremata,Tachyglossidae,eastern long-beaked echidna
Ornithorhynchus anatinus,Mammalia,Monotremata,Ornithorhynchidae,platypus
Moschiola meminna,Mammalia,Artiodactyla,Tragulidae,indian spotted chevrotain
Trichechus senegalensis,Mammalia,Sirenia,Trichechidae,african manatee
Lepus tolai,Mammalia,Lagomorpha,Leporidae,tolai hare
Loxodonta cyclotis,Mammalia,Proboscidea,Elephantidae,african forest elephant
Tupaia minor,Mammalia,Scandentia,Tupaiidae,pygmy tree shrew
Tapirus pinchaque,Mammalia,Perissodactyla,Tapiridae,mountain tapir
Solenodon paradoxus,Mammalia,Soricomorpha,Solenodontidae,haitian solenodon
Procavia capensis,Mammalia,Hyracoidea,Procaviidae,rock hyrax
Caenolestes condorensis,Mammalia,Paucituberculata,Caenolestidae,andean caenolestid
Tragulus williamsoni,Mammalia,Artiodactyla,Tragulidae,williamson's mouse-deer
Lepus americanus,Mammalia,Lagomorpha,Leporidae,snowshoe hare
Lepus tibetanus,Mammalia,Lagomorpha,Leporidae,desert hare
Giraffa giraffa,Mammalia,Artiodactyla,Giraffidae,southern giraffe
Sylvilagus graysoni,Mammalia,Lagomorpha,Leporidae,tres marias cottontail
Sylvilagus tapetillus,Mammalia,Lagomorpha,Leporidae,dwarf tapetí
Sylvilagus aquaticus,Mammalia,Lagomorpha,Leporidae,cane cutter
Lepus corsicanus,Mammalia,Lagomorpha,Leporidae,corsican hare
Lestoros inca,Mammalia,Paucituberculata,Caenolestidae,incan caenolestid
Elephantulus rozeti,Mammalia,Macroscelidea,Macroscelididae,north african elephant shrew
Nesophontes paramicrus,Mammalia,Soricomorpha,Nesophontidae,st. michel nesophontes
Rhynchocyon chrysopygus,Mammalia,Macroscelidea,Macroscelididae,golden-rumped elephant shrew
Ptilocercus lowii,Mammalia,Scandentia,Ptilocercidae,pen-tailed tree shrew
Lepus insularis,Mammalia,Lagomorpha,Leporidae,black jackrabbit
Moschus moschiferus,Mammalia,Artiodactyla,Moschidae,siberian musk deer
Sylvilagus nuttallii,Mammalia,Lagomorpha,Leporidae,mountain cottontail
Hippopotamus lemerlei,Mammalia,Artiodactyla,Hippopotamidae,madagascan dwarf hippopotamus
Pronolagus rupestris,Mammalia,Lagomorpha,Leporidae,smith's red rock hare
Dendrogale murina,Mammalia,Scandentia,Tupaiidae,northern smooth-tailed treeshrew
Dendrohyrax arboreus,Mammalia,Hyracoidea,Procaviidae,southern tree hyrax
Sylvilagus fulvescens,Mammalia,Lagomorpha,Leporidae,fulvous rabbit
Rhinoceros sondaicus,Mammalia,Perissodactyla,Rhinocerotidae,javan rhinoceros
Tupaia dorsalis,Mammalia,Scandentia,Tupaiidae,striped tree shrew
Poelagus marjorita,Mammalia,Lagomorpha,Leporidae,bunyoro rabbit
Lama glama,Mammalia,Artiodactyla,Camelidae,guanaco
Moschus berezovskii,Mammalia,Artiodactyla,Moschidae,chinese forest musk deer
Lepus oiostolus,Mammalia,Lagomorpha,Leporidae,gray-tailed hare
Tupaia splendidula,Mammalia,Scandentia,Tupaiidae,ruddy tree shrew
Orycteropus afer,Mammalia,Tubulidentata,Orycteropodidae,aardvark
Nesophontes micrus,Mammalia,Soricomorpha,Nesophontidae,western cuban nesophontes
Elephantulus intufi,Mammalia,Macroscelidea,Macroscelididae,bushveld elephant shrew
Caenolestes caniventer,Mammalia,Paucituberculata,Caenolestidae,gray-bellied caenolestid
Lepus castroviejoi,Mammalia,Lagomorpha,Leporidae,broom hare
Lepus capensis,Mammalia,Lagomorpha,Leporidae,arabian hare
Antilocapra americana,Mammalia,Artiodactyla,Antilocapridae,pronghorn
Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,collared peccary
Caprolagus hispidus,Mammalia,Lagomorpha,Leporidae,assam rabbit
Moschus leucogaster,Mammalia,Artiodactyla,Moschidae,himalayan musk deer
Elephantulus fuscipes,Mammalia,Macroscelidea,Macroscelididae,dusky-footed elephant shrew
Nesophontes longirostris,Mammalia,Soricomorpha,Nesophontidae,slender cuban nesophontes
Tupaia palawanensis,Mammalia,Scandentia,Tupaiidae,palawan tree shrew
Lepus saxatilis,Mammalia,Lagomorpha,Leporidae,cape scrub hare
Giraffa camelopardalis,Mammalia,Artiodactyla,Giraffidae,giraffe
Galeopterus variegatus,Mammalia,Dermoptera,Cynocephalidae,sunda flying lemur
Nesolagus netscheri,Mammalia,Lagomorpha,Leporidae,sumatran rabbit
Tupaia gracilis,Mammalia,Scandentia,Tupaiidae,slender tree shrew
Elephas maximus,Mammalia,Proboscidea,Elephantidae,asian elephant
Dicerorhinus sumatrensis,Mammalia,Perissodactyla,Rhinocerotidae,asian two-horned rhinoceros
Solenodon arredondoi,Mammalia,Soricomorpha,Solenodontidae,giant solenodon
Tragulus kanchil,Mammalia,Artiodactyla,Tragulidae,lesser mouse-deer
Macrotis leucura,Mammalia,Peramelemorphia,Thylacomyidae,lesser bilby
Anathana ellioti,Mammalia,Scandentia,Tupaiidae,madras tree shrew
Sylvilagus brasiliensis,Mammalia,Lagomorpha,Leporidae,forest rabbit
Hexaprotodon madagascariensis,Mammalia,Artiodactyla,Hippopotamidae,madagascan pygmy hippopotamus
Sylvilagus floridanus,Mammalia,Lagomorpha,Leporidae,eastern cottontail
Lepus granatensis,Mammalia,Lagomorpha,Leporidae,granada hare
Cynocephalus volans,Mammalia,Dermoptera,Cynocephalidae,philippine flying lemur
Lepus europaeus,Mammalia,Lagomorpha,Leporidae,brown hare
Thylacinus cynocephalus,Mammalia,Dasyuromorphia,Thylacinidae,tasmanian tiger
Macroscelides proboscideus,Mammalia,Macroscelidea,Macroscelididae,short-eared elephant shrew
Elephantulus rupestris,Mammalia,Macroscelidea,Macroscelididae,western rock elephant shrew
Dromiciops gliroides,Mammalia,Microbiotheria,Microbiotheriidae,monito del monte
Lepus flavigularis,Mammalia,Lagomorpha,Leporidae,tehuantepec jackrabbit
Sylvilagus bachmani,Mammalia,Lagomorpha,Leporidae,brush rabbit
Hexaprotodon liberiensis,Mammalia,Artiodactyla,Hippopotamidae,pygmy hippopotamus
Sylvilagus cunicularius,Mammalia,Lagomorpha,Leporidae,mexican cottontail
Lepus habessinicus,Mammalia,Lagomorpha,Leporidae,abyssinian hare
Macrotis lagotis,Mammalia,Peramelemorphia,Thylacomyidae,greater bilby
Tragulus nigricans,Mammalia,Artiodactyla,Tragulidae,philippine mouse-deer
Sylvilagus obscurus,Mammalia,Lagomorpha,Leporidae,appalachian cottontail
Ceratotherium simum,Mammalia,Perissodactyla,Rhinocerotidae,southern white rhinoceros
Solenodon cubanus,Mammalia,Soricomorpha,Solenodontidae,cuban solenodon
Tupaia javanica,Mammalia,Scandentia,Tupaiidae,horsfield's treeshrew
Lepus yarkandensis,Mammalia,Lagomorpha,Leporidae,yarkand hare
Vicugna vicugna,Mammalia,Artiodactyla,Camelidae,vicugna
Tragulus napu,Mammalia,Artiodactyla,Tragulidae,greater mouse-deer
Lepus sinensis,Mammalia,Lagomorpha,Leporidae,chinese hare
Tupaia nicobarica,Mammalia,Scandentia,Tupaiidae,nicobar tree shrew
Nesophontes hypomicrus,Mammalia,Soricomorpha,Nesophontidae,atalaya nesophontes
Elephantulus edwardii,Mammalia,Macroscelidea,Macroscelididae,cape elephant shrew
Moschus cupreus,Mammalia,Artiodactyla,Moschidae,kashmir musk deer
Chaeropus ecaudatus,Mammalia,Peramelemorphia,Chaeropodidae,pig-footed bandicoot
Bunolagus monticularis,Mammalia,Lagomorpha,Leporidae,bushman hare
Lepus alleni,Mammalia,Lagomorpha,Leporidae,allen's jackrabbit
Sylvilagus gabbi,Mammalia,Lagomorpha,Leporidae,central american lowland forest cottontail
Tapirus kabomani,Mammalia,Perissodactyla,Tapiridae,kabomani tapir
Sylvilagus varynaensis,Mammalia,Lagomorpha,Leporidae,barinas wild rabbit
Sylvilagus robustus,Mammalia,Lagomorpha,Leporidae,davis mountain cottontail
Giraffa reticulata,Mammalia,Artiodactyla,Giraffidae,reticulated giraffe
Sylvilagus mansuetus,Mammalia,Lagomorpha,Leporidae,san josé brush rabbit
Sylvilagus apollinaris,Mammalia,Lagomorpha,Leporidae,apollinaris' cottontail
Lepus townsendii,Mammalia,Lagomorpha,Leporidae,white-tailed jack rabbit
Notoryctes caurinus,Mammalia,Notoryctemorphia,Notoryctidae,northern marsupial mole
Lepus comus,Mammalia,Lagomorpha,Leporidae,yunnan hare
Caenolestes convelatus,Mammalia,Paucituberculata,Caenolestidae,northern caenolestid
Elephantulus myurus,Mammalia,Macroscelidea,Macroscelididae,eastern rock elephant shrew
Nesophontes submicrus,Mammalia,Soricomorpha,Nesophontidae,lesser cuban nesophontes
Rhynchocyon petersi,Mammalia,Macroscelidea,Macroscelididae,black and rufous elephant shrew
Tupaia tana,Mammalia,Scandentia,Tupaiidae,large tree shrew
Lepus nigricollis,Mammalia,Lagomorpha,Leporidae,black-napped hare
Moschus chrysogaster,Mammalia,Artiodactyla,Moschidae,alpine musk deer
Oryctolagus cuniculus,Mammalia,Lagomorpha,Leporidae,european rabbit
Camelus dromedarius,Mammalia,Artiodactyla,Camelidae,one-humped camel
Pronolagus crassicaudatus,Mammalia,Lagomorpha,Leporidae,greater red rockhare
Tupaia chrysogaster,Mammalia,Scandentia,Tupaiidae,golden-bellied tree shrew
Acrocodia indica,Mammalia,Perissodactyla,Tapiridae,malay tapir
Rhinoceros unicornis,Mammalia,Perissodactyla,Rhinocerotidae,indian one-horned rhinoceros
Hippopotamus laloumena,Mammalia,Artiodactyla,Hippopotamidae,NA
Nesophontes superstes,Mammalia,Soricomorpha,Nesophontidae,cuban nesophontes
Tupaia belangeri,Mammalia,Scandentia,Tupaiidae,northern tree shrew
Pronolagus randensis,Mammalia,Lagomorpha,Leporidae,jameson's red rock hare
Camelus bactrianus,Mammalia,Artiodactyla,Camelidae,bactrian camel
Sylvilagus transitionalis,Mammalia,Lagomorpha,Leporidae,coney
Moschus fuscus,Mammalia,Artiodactyla,Moschidae,black musk deer
Lepus mandshuricus,Mammalia,Lagomorpha,Leporidae,manchurian hare
Urogale everetti,Mammalia,Scandentia,Tupaiidae,mindanao tree shrew
Rhynchocyon cirnei,Mammalia,Macroscelidea,Macroscelididae,checkered elephant shrew
Nesophontes zamicrus,Mammalia,Soricomorpha,Nesophontidae,haitian nesophontes
Elephantulus revoili,Mammalia,Macroscelidea,Macroscelididae,somali elephant shrew
Caenolestes fuliginosus,Mammalia,Paucituberculata,Caenolestidae,dusky caenolestid
Lepus coreanus,Mammalia,Lagomorpha,Leporidae,korean hare
Notoryctes typhlops,Mammalia,Notoryctemorphia,Notoryctidae,southern marsupial mole
Sylvilagus palustris,Mammalia,Lagomorpha,Leporidae,marsh rabbit
Sylvilagus insonus,Mammalia,Lagomorpha,Leporidae,omilteme cottontail
Giraffa tippelskirchi,Mammalia,Artiodactyla,Giraffidae,masai giraffe
Sylvilagus cognatus,Mammalia,Lagomorpha,Leporidae,manzano mountain cottontail
Sylvilagus parentum,Mammalia,Lagomorpha,Leporidae,suriname lowland forest cottontail
Lepus timidus,Mammalia,Lagomorpha,Leporidae,mountain hare
Prolagus sardus,Mammalia,Lagomorpha,Prolagidae,sardinian pika
Moschus anhuiensis,Mammalia,Artiodactyla,Moschidae,anhui musk deer
Lepus arcticus,Mammalia,Lagomorpha,Leporidae,arctic hare
Elephantulus brachyrhynchus,Mammalia,Macroscelidea,Macroscelididae,short-snouted elephant shrew
Nesophontes edithae,Mammalia,Soricomorpha,Nesophontidae,puerto rican nesophontes
Tupaia montana,Mammalia,Scandentia,Tupaiidae,mountain tree shrew
Trichechus manatus,Mammalia,Sirenia,Trichechidae,caribbean manatee
Tragulus javanicus,Mammalia,Artiodactyla,Tragulidae,java mouse-deer
Pronolagus saundersiae,Mammalia,Lagomorpha,Leporidae,hewitt's red rock hare
Hyemoschus aquaticus,Mammalia,Artiodactyla,Tragulidae,water chevrotain
Trichechus inunguis,Mammalia,Sirenia,Trichechidae,amazon manatee
Lepus victoriae,Mammalia,Lagomorpha,Leporidae,african savanna hare
Tupaia longipes,Mammalia,Scandentia,Tupaiidae,long-footed tree shrew
Solenodon marcanoi,Mammalia,Soricomorpha,Solenodontidae,marcano's solenodon
Tapirus terrestris,Mammalia,Perissodactyla,Tapiridae,brazilian tapir
Heterohyrax brucei,Mammalia,Hyracoidea,Procaviidae,yellow-spotted rock hyrax
Lepus othus,Mammalia,Lagomorpha,Leporidae,tundra hare
Tragulus versicolor,Mammalia,Artiodactyla,Tragulidae,vietnam mouse-deer
Sylvilagus dicei,Mammalia,Lagomorpha,Leporidae,dice's cottontail
Catagonus wagneri,Mammalia,Artiodactyla,Tayassuidae,chacoan peccary
Sylvilagus andinus,Mammalia,Lagomorpha,Leporidae,andean cottontail
Sylvilagus audubonii,Mammalia,Lagomorpha,Leporidae,audubon's cottontail
Lepus fagani,Mammalia,Lagomorpha,Leporidae,ethiopian hare
Rhyncholestes raphanurus,Mammalia,Paucituberculata,Caenolestidae,chilean 'shrew' opossum
Elephantulus rufescens,Mammalia,Macroscelidea,Macroscelididae,rufous elephant shrew
Petrodromus tetradactylus,Mammalia,Macroscelidea,Macroscelididae,four-toed elephant shrew
Myrmecobius fasciatus,Mammalia,Dasyuromorphia,Myrmecobiidae,numbat
Lepus hainanus,Mammalia,Lagomorpha,Leporidae,hainan hare
Hippopotamus amphibius,Mammalia,Artiodactyla,Hippopotamidae,common hippopotamus
Romerolagus diazi,Mammalia,Lagomorpha,Leporidae,volcano rabbit
Dendrogale melanura,Mammalia,Scandentia,Tupaiidae,bornean smooth-tailed treeshrew
Ceratotherium cottoni,Mammalia,Perissodactyla,Rhinocerotidae,northern white rhinoceros
Brachylagus idahoensis,Mammalia,Lagomorpha,Leporidae,pygmy rabbit
Vicugna pacos,Mammalia,Artiodactyla,Camelidae,NA
Dendrohyrax dorsalis,Mammalia,Hyracoidea,Procaviidae,western tree hyrax
Diceros bicornis,Mammalia,Perissodactyla,Rhinocerotidae,african black rhinoceros
Loxodonta africana,Mammalia,Proboscidea,Elephantidae,african bush elephant
Tupaia glis,Mammalia,Scandentia,Tupaiidae,common tree shrew
Pentalagus furnessi,Mammalia,Lagomorpha,Leporidae,amami rabbit
Tupaia moellendorffi,Mammalia,Scandentia,Tupaiidae,calamian treeshrew
Okapia johnstoni,Mammalia,Artiodactyla,Giraffidae,okapi
Tupaia picta,Mammalia,Scandentia,Tupaiidae,painted tree shrew
Nesophontes major,Mammalia,Soricomorpha,Nesophontidae,greater cuban nesophontes
Elephantulus fuscus,Mammalia,Macroscelidea,Macroscelididae,dusky elephant shrew
Lepus brachyurus,Mammalia,Lagomorpha,Leporidae,japanese hare
Tayassu pecari,Mammalia,Artiodactyla,Tayassuidae,white-lipped peccary
Nesolagus timminsi,Mammalia,Lagomorpha,Leporidae,annamite striped rabbit
Lagenorhynchus australis,Mammalia,Cetacea,Delphinidae,peale's dolphin
Hippotragus leucophaeus,Mammalia,Artiodactyla,Bovidae,blaaubok
Erinaceus amurensis,Mammalia,Erinaceomorpha,Erinaceidae,amur hedgehog
Crocidura susiana,Mammalia,Soricomorpha,Soricidae,iranian shrew
Bdeogale crassicauda,Mammalia,Carnivora,Herpestidae,bushy-tailed mongoose
Canis lupaster,Mammalia,Carnivora,Canidae,NA
Vulpes lagopus,Mammalia,Carnivora,Canidae,arctic fox
Gazella bennettii,Mammalia,Artiodactyla,Bovidae,indian gazelle
Suncus varilla,Mammalia,Soricomorpha,Soricidae,lesser dwarf shrew
Crocidura malayana,Mammalia,Soricomorpha,Soricidae,malayan shrew
Rusa unicolor,Mammalia,Artiodactyla,Cervidae,sambar
Crocidura fuscomurina,Mammalia,Soricomorpha,Soricidae,bicolored musk shrew
