scientificName,class,order,family,vernacularName
Toxorhynchites wolfsi,Insecta,Diptera,Culicidae,NA
Toxorhynchites zairensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites purpureus,Insecta,Diptera,Culicidae,NA
Toxorhynchites trichopygus,Insecta,Diptera,Culicidae,NA
Toxorhynchites catharinensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites hexacis,Insecta,Diptera,Culicidae,NA
Toxorhynchites violaceus,Insecta,Diptera,Culicidae,NA
Toxorhynchites superbus,Insecta,Diptera,Culicidae,NA
Toxorhynchites theobaldi,Insecta,Diptera,Culicidae,NA
Toxorhynchites rutilus,Insecta,Diptera,Culicidae,NA
Toxorhynchites solstitialis,Insecta,Diptera,Culicidae,NA
Toxorhynchites pusillus,Insecta,Diptera,Culicidae,NA
Toxorhynchites rizzoi,Insecta,Diptera,Culicidae,NA
Toxorhynchites moctezuma,Insecta,Diptera,Culicidae,NA
Toxorhynchites portoricensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites hypoptes,Insecta,Diptera,Culicidae,NA
Toxorhynchites mariae,Insecta,Diptera,Culicidae,NA
Toxorhynchites guadeloupensis,Insecta,Diptera,Culicidae,NA
Toxorhynchites haemorrhoidalis,Insecta,Diptera,Culicidae,NA
Toxorhynchites gerbergi,Insecta,Diptera,Culicidae,NA
Toxorhynchites grandiosus,Insecta,Diptera,Culicidae,NA
Toxorhynchites bambusicola,Insecta,Diptera,Culicidae,NA
Toxorhynchites cavalierii,Insecta,Diptera,Culicidae,NA
Uranotaenia tanakai,Insecta,Diptera,Culicidae,NA
Uranotaenia iriartei,Insecta,Diptera,Culicidae,NA
Uranotaenia gabaldoni,Insecta,Diptera,Culicidae,NA
Uranotaenia bricenoi,Insecta,Diptera,Culicidae,NA
Wyeomyia undulata,Insecta,Diptera,Culicidae,NA
Wyeomyia taurepana,Insecta,Diptera,Culicidae,NA
Wyeomyia surinamensis,Insecta,Diptera,Culicidae,NA
Wyeomyia subcomplosa,Insecta,Diptera,Culicidae,NA
Wyeomyia shannoni,Insecta,Diptera,Culicidae,NA
Wyeomyia serratoria,Insecta,Diptera,Culicidae,NA
Wyeomyia roucouyana,Insecta,Diptera,Culicidae,NA
Wyeomyia rorotai,Insecta,Diptera,Culicidae,NA
Wyeomyia rooti,Insecta,Diptera,Culicidae,NA
Wyeomyia amazonica,Insecta,Diptera,Culicidae,NA
Wyeomyia albosquamata,Insecta,Diptera,Culicidae,NA
Wyeomyia cesari,Insecta,Diptera,Culicidae,NA
Wyeomyia argenteorostris,Insecta,Diptera,Culicidae,NA
Wyeomyia aequatorianna,Insecta,Diptera,Culicidae,NA
Wyeomyia nigricephala,Insecta,Diptera,Culicidae,NA
Wyeomyia occulta,Insecta,Diptera,Culicidae,NA
Wyeomyia pampithes,Insecta,Diptera,Culicidae,NA
Wyeomyia phroso,Insecta,Diptera,Culicidae,NA
Wyeomyia knabi,Insecta,Diptera,Culicidae,NA
Wyeomyia melanocephala,Insecta,Diptera,Culicidae,NA
Wyeomyia moerbista,Insecta,Diptera,Culicidae,NA
Wyeomyia negrensis,Insecta,Diptera,Culicidae,NA
Wyeomyia exallos,Insecta,Diptera,Culicidae,NA
Wyeomyia flui,Insecta,Diptera,Culicidae,NA
Wyeomyia gutierrezi,Insecta,Diptera,Culicidae,NA
Wyeomyia ininicola,Insecta,Diptera,Culicidae,NA
Wyeomyia chalcocephala,Insecta,Diptera,Culicidae,NA
Wyeomyia clasoleuca,Insecta,Diptera,Culicidae,NA
Wyeomyia compta,Insecta,Diptera,Culicidae,NA
Wyeomyia covagarciai,Insecta,Diptera,Culicidae,NA
Shannoniana fluviatilis,Insecta,Diptera,Culicidae,NA
Shannoniana schedocyclium,Insecta,Diptera,Culicidae,NA
Shannoniana moralesi,Insecta,Diptera,Culicidae,NA
Trichoprosopon lampangensis,Insecta,Diptera,Culicidae,NA
Trichoprosopon lanei,Insecta,Diptera,Culicidae,NA
Trichoprosopon cotopaxense,Insecta,Diptera,Culicidae,NA
Trichoprosopon evansae,Insecta,Diptera,Culicidae,NA
Trichoprosopon castroi,Insecta,Diptera,Culicidae,NA
Trichoprosopon compressum,Insecta,Diptera,Culicidae,NA
Trichoprosopon brevipes,Insecta,Diptera,Culicidae,NA
Trichoprosopon pallidiventer,Insecta,Diptera,Culicidae,NA
Trichoprosopon obscurum,Insecta,Diptera,Culicidae,NA
Malaya taeniarostris,Insecta,Diptera,Culicidae,NA
Malaya farquharsoni,Insecta,Diptera,Culicidae,NA
Malaya fraseri,Insecta,Diptera,Culicidae,NA
Malaya genurostris,Insecta,Diptera,Culicidae,NA
Malaya incomptas,Insecta,Diptera,Culicidae,NA
Malaya moucheti,Insecta,Diptera,Culicidae,NA
Malaya marceli,Insecta,Diptera,Culicidae,NA
Malaya leei,Insecta,Diptera,Culicidae,NA
Malaya jacobsoni,Insecta,Diptera,Culicidae,NA
Malaya trichorostris,Insecta,Diptera,Culicidae,NA
Malaya splendens,Insecta,Diptera,Culicidae,NA
Malaya solomonis,Insecta,Diptera,Culicidae,NA
Limatus paraensis,Insecta,Diptera,Culicidae,NA
Limatus pseudomethysticus,Insecta,Diptera,Culicidae,NA
Limatus flavisetosus,Insecta,Diptera,Culicidae,NA
Limatus guayasi,Insecta,Diptera,Culicidae,NA
Limatus hoffmani,Insecta,Diptera,Culicidae,NA
Limatus martiali,Insecta,Diptera,Culicidae,NA
Limatus andinus,Insecta,Diptera,Culicidae,NA
Limatus asulleptus,Insecta,Diptera,Culicidae,NA
Limatus durhamii,Insecta,Diptera,Culicidae,NA
Kimia imitata,Insecta,Diptera,Culicidae,NA
Kimia decorabilis,Insecta,Diptera,Culicidae,NA
Johnbelkinia ulopus,Insecta,Diptera,Culicidae,NA
Johnbelkinia longipes,Insecta,Diptera,Culicidae,NA
Johnbelkinia leucopus,Insecta,Diptera,Culicidae,NA
Isostomyia perturbans,Insecta,Diptera,Culicidae,NA
Isostomyia lunata,Insecta,Diptera,Culicidae,NA
Isostomyia paranensis,Insecta,Diptera,Culicidae,NA
Isostomyia espini,Insecta,Diptera,Culicidae,NA
Sabethes lutzii,Insecta,Diptera,Culicidae,NA
Maorigoeldia argyropus,Insecta,Diptera,Culicidae,NA
Onirion sirivanakarni,Insecta,Diptera,Culicidae,NA
Onirion imparis,Insecta,Diptera,Culicidae,NA
Onirion regale,Insecta,Diptera,Culicidae,NA
Onirion celatum,Insecta,Diptera,Culicidae,NA
Onirion brucei,Insecta,Diptera,Culicidae,NA
Onirion aenigma,Insecta,Diptera,Culicidae,NA
Hodgesia spoliata,Insecta,Diptera,Culicidae,NA
Hodgesia sanguinae,Insecta,Diptera,Culicidae,NA
Hodgesia solomonis,Insecta,Diptera,Culicidae,NA
Hodgesia bailyi,Insecta,Diptera,Culicidae,NA
Hodgesia cairnsensis,Insecta,Diptera,Culicidae,NA
Hodgesia psectropus,Insecta,Diptera,Culicidae,NA
Hodgesia quasisanguinae,Insecta,Diptera,Culicidae,NA
Hodgesia malayi,Insecta,Diptera,Culicidae,NA
Hodgesia nigeriae,Insecta,Diptera,Culicidae,NA
Coquillettidia cockerelli,Insecta,Diptera,Culicidae,NA
Coquillettidia pseudoconfirmatus,Insecta,Diptera,Culicidae,NA
Mansonia varivestita,Insecta,Diptera,Culicidae,NA
Mansonia martinii,Insecta,Diptera,Culicidae,NA
Orthopodomyia wilsoni,Insecta,Diptera,Culicidae,NA
Orthopodomyia wanxianensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia waverleyi,Insecta,Diptera,Culicidae,NA
Orthopodomyia signifera,Insecta,Diptera,Culicidae,NA
Orthopodomyia vernoni,Insecta,Diptera,Culicidae,NA
Orthopodomyia sampaioi,Insecta,Diptera,Culicidae,NA
Orthopodomyia siamensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia reunionensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia rodhaini,Insecta,Diptera,Culicidae,NA
Orthopodomyia ravaonjanaharyi,Insecta,Diptera,Culicidae,NA
Orthopodomyia rajaonariveloi,Insecta,Diptera,Culicidae,NA
Orthopodomyia pulcripalpis,Insecta,Diptera,Culicidae,NA
Orthopodomyia phyllozoa,Insecta,Diptera,Culicidae,NA
Orthopodomyia peytoni,Insecta,Diptera,Culicidae,NA
Orthopodomyia papuensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia ototomoensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia nkolbissonensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia milloti,Insecta,Diptera,Culicidae,NA
Orthopodomyia mcgregori,Insecta,Diptera,Culicidae,NA
Orthopodomyia madrensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia madecassorum,Insecta,Diptera,Culicidae,NA
Orthopodomyia lanyuensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia kummi,Insecta,Diptera,Culicidae,NA
Orthopodomyia joyoni,Insecta,Diptera,Culicidae,NA
Orthopodomyia fontenillei,Insecta,Diptera,Culicidae,NA
Orthopodomyia albicosta,Insecta,Diptera,Culicidae,NA
Orthopodomyia alba,Insecta,Diptera,Culicidae,NA
Orthopodomyia albipes,Insecta,Diptera,Culicidae,NA
Orthopodomyia albipes,Insecta,Diptera,Culicidae,NA
Orthopodomyia andamanensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia ambremontis,Insecta,Diptera,Culicidae,NA
Orthopodomyia anopheloides,Insecta,Diptera,Culicidae,NA
Orthopodomyia ankaratrensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia aureoantennata,Insecta,Diptera,Culicidae,NA
Orthopodomyia arboricollis,Insecta,Diptera,Culicidae,NA
Orthopodomyia fascipes,Insecta,Diptera,Culicidae,NA
Orthopodomyia comorensis,Insecta,Diptera,Culicidae,NA
Orthopodomyia flavithorax,Insecta,Diptera,Culicidae,NA
Orthopodomyia flavicosta,Insecta,Diptera,Culicidae,NA
Ficalbia minima,Insecta,Diptera,Culicidae,NA
Ficalbia nigra,Insecta,Diptera,Culicidae,NA
Ficalbia ludlowae,Insecta,Diptera,Culicidae,NA
Ficalbia malfeyti,Insecta,Diptera,Culicidae,NA
Ficalbia ichiromiyagii,Insecta,Diptera,Culicidae,NA
Ficalbia jacksoni,Insecta,Diptera,Culicidae,NA
Ficalbia circumtestacea,Insecta,Diptera,Culicidae,NA
Ficalbia uniformis,Insecta,Diptera,Culicidae,NA
Culiseta silvestris,Insecta,Diptera,Culicidae,NA
Culiseta elmniscata,Insecta,Diptera,Culicidae,NA
Culiseta arenivaga,Insecta,Diptera,Culicidae,NA
Culiseta kishenehn,Insecta,Diptera,Culicidae,NA
Culiseta gedanica,Insecta,Diptera,Culicidae,NA
Galindomyia leei,Insecta,Diptera,Culicidae,NA
Deinocerites mathesoni,Insecta,Diptera,Culicidae,NA
Deinocerites mcdonaldi,Insecta,Diptera,Culicidae,NA
Deinocerites howardi,Insecta,Diptera,Culicidae,NA
Deinocerites magnus,Insecta,Diptera,Culicidae,NA
Deinocerites panamensis,Insecta,Diptera,Culicidae,NA
Deinocerites pseudes,Insecta,Diptera,Culicidae,NA
Deinocerites melanophylum,Insecta,Diptera,Culicidae,NA
Deinocerites nicoyae,Insecta,Diptera,Culicidae,NA
Deinocerites spanius,Insecta,Diptera,Culicidae,NA
Deinocerites atlanticus,Insecta,Diptera,Culicidae,NA
Deinocerites belkini,Insecta,Diptera,Culicidae,NA
Deinocerites barretoi,Insecta,Diptera,Culicidae,NA
Deinocerites colombianus,Insecta,Diptera,Culicidae,NA
Deinocerites cancer,Insecta,Diptera,Culicidae,NA
Deinocerites curiche,Insecta,Diptera,Culicidae,NA
Deinocerites costaricensis,Insecta,Diptera,Culicidae,NA
Deinocerites epitedeus,Insecta,Diptera,Culicidae,NA
Deinocerites dyari,Insecta,Diptera,Culicidae,NA
Culex chrysothorax,Insecta,Diptera,Culicidae,NA
Culex chrysothorax,Insecta,Diptera,Culicidae,NA
Culex decorator,Insecta,Diptera,Culicidae,NA
Culex damnatorum,Insecta,Diptera,Culicidae,NA
Culex aikenii,Insecta,Diptera,Culicidae,NA
Culex cairnsensis,Insecta,Diptera,Culicidae,NA
Culex americanus,Insecta,Diptera,Culicidae,NA
Culex novaeguineae,Insecta,Diptera,Culicidae,NA
Culex oblita,Insecta,Diptera,Culicidae,NA
Culex ocellatus,Insecta,Diptera,Culicidae,NA
Culex pallipes,Insecta,Diptera,Culicidae,NA
Culex protorhinus,Insecta,Diptera,Culicidae,NA
Culex punctiscapularis,Insecta,Diptera,Culicidae,NA
Culex romeroi,Insecta,Diptera,Culicidae,NA
Culex singhbhumensis,Insecta,Diptera,Culicidae,NA
Culex suborientalis,Insecta,Diptera,Culicidae,NA
Culex tanzaniae,Insecta,Diptera,Culicidae,NA
Culex vectensis,Insecta,Diptera,Culicidae,NA
Culex virgultus,Insecta,Diptera,Culicidae,NA
Culex viridis,Insecta,Diptera,Culicidae,NA
Culex vulgaris,Insecta,Diptera,Culicidae,NA
Culex winchesteri,Insecta,Diptera,Culicidae,NA
Culex erikae,Insecta,Diptera,Culicidae,NA
Culex epirus,Insecta,Diptera,Culicidae,NA
Culex flavovirens,Insecta,Diptera,Culicidae,NA
Culex humilis,Insecta,Diptera,Culicidae,NA
Culex flavus,Insecta,Diptera,Culicidae,NA
Culex insequens,Insecta,Diptera,Culicidae,NA
Culex inornatus,Insecta,Diptera,Culicidae,NA
Culex lugens,Insecta,Diptera,Culicidae,NA
Culex katezari,Insecta,Diptera,Culicidae,NA
Culex microtaeniata,Insecta,Diptera,Culicidae,NA
Culex malariager,Insecta,Diptera,Culicidae,NA
Culex nigricorpus,Insecta,Diptera,Culicidae,NA
Culex mindanaoensis,Insecta,Diptera,Culicidae,NA
Culex nilgiricus,Insecta,Diptera,Culicidae,NA
Culex nigrimacula,Insecta,Diptera,Culicidae,NA
Zeugnomyia fajardoi,Insecta,Diptera,Culicidae,NA
Zeugnomyia aguilari,Insecta,Diptera,Culicidae,NA
Zeugnomyia lawtoni,Insecta,Diptera,Culicidae,NA
Zeugnomyia gracilis,Insecta,Diptera,Culicidae,NA
Udaya subsimilis,Insecta,Diptera,Culicidae,NA
Udaya lucaris,Insecta,Diptera,Culicidae,NA
Udaya argyrurus,Insecta,Diptera,Culicidae,NA
Psorophora perterrens,Insecta,Diptera,Culicidae,NA
Psorophora marmorata,Insecta,Diptera,Culicidae,NA
Psorophora goeldii,Insecta,Diptera,Culicidae,NA
Ochlerotatus protolepis,Insecta,Diptera,Culicidae,NA
Leicesteria rectirostris,Insecta,Diptera,Culicidae,NA
Eretmapodites angolensis,Insecta,Diptera,Culicidae,NA
Eretmapodites adami,Insecta,Diptera,Culicidae,NA
Eretmapodites brenguesi,Insecta,Diptera,Culicidae,NA
Eretmapodites argyrurus,Insecta,Diptera,Culicidae,NA
Eretmapodites caillardi,Insecta,Diptera,Culicidae,NA
Eretmapodites brottesi,Insecta,Diptera,Culicidae,NA
Eretmapodites corbeti,Insecta,Diptera,Culicidae,NA
Eretmapodites chrysogaster,Insecta,Diptera,Culicidae,NA
Eretmapodites haddowi,Insecta,Diptera,Culicidae,NA
Eretmapodites hamoni,Insecta,Diptera,Culicidae,NA
Eretmapodites harperi,Insecta,Diptera,Culicidae,NA
Eretmapodites hightoni,Insecta,Diptera,Culicidae,NA
Eretmapodites inornatus,Insecta,Diptera,Culicidae,NA
Eretmapodites intermedius,Insecta,Diptera,Culicidae,NA
Eretmapodites jani,Insecta,Diptera,Culicidae,NA
Eretmapodites lacani,Insecta,Diptera,Culicidae,NA
Eretmapodites dundo,Insecta,Diptera,Culicidae,NA
Eretmapodites eouzani,Insecta,Diptera,Culicidae,NA
Eretmapodites ferrarai,Insecta,Diptera,Culicidae,NA
Eretmapodites forcipulatus,Insecta,Diptera,Culicidae,NA
Eretmapodites germaini,Insecta,Diptera,Culicidae,NA
Eretmapodites gilletti,Insecta,Diptera,Culicidae,NA
Eretmapodites grahami,Insecta,Diptera,Culicidae,NA
Eretmapodites grenieri,Insecta,Diptera,Culicidae,NA
Eretmapodites salauni,Insecta,Diptera,Culicidae,NA
Eretmapodites rickenbachi,Insecta,Diptera,Culicidae,NA
Eretmapodites ravissei,Insecta,Diptera,Culicidae,NA
Eretmapodites quinquevittatus,Insecta,Diptera,Culicidae,NA
Eretmapodites productus,Insecta,Diptera,Culicidae,NA
Eretmapodites plioleucus,Insecta,Diptera,Culicidae,NA
Eretmapodites penicillatus,Insecta,Diptera,Culicidae,NA
Eretmapodites pauliani,Insecta,Diptera,Culicidae,NA
Eretmapodites parvipluma,Insecta,Diptera,Culicidae,NA
Eretmapodites oedipodeios,Insecta,Diptera,Culicidae,NA
Eretmapodites mortiauxi,Insecta,Diptera,Culicidae,NA
Eretmapodites melanopous,Insecta,Diptera,Culicidae,NA
Eretmapodites mattinglyi,Insecta,Diptera,Culicidae,NA
Eretmapodites marcelleae,Insecta,Diptera,Culicidae,NA
Eretmapodites mahaffyi,Insecta,Diptera,Culicidae,NA
Eretmapodites leucopous,Insecta,Diptera,Culicidae,NA
Eretmapodites wansoni,Insecta,Diptera,Culicidae,NA
Eretmapodites tonsus,Insecta,Diptera,Culicidae,NA
Eretmapodites vansomereni,Insecta,Diptera,Culicidae,NA
Eretmapodites subsimplicipes,Insecta,Diptera,Culicidae,NA
Eretmapodites tendeiroi,Insecta,Diptera,Culicidae,NA
Eretmapodites semisimplicipes,Insecta,Diptera,Culicidae,NA
Eretmapodites silvestris,Insecta,Diptera,Culicidae,NA
Aedes koreicoides,Insecta,Diptera,Culicidae,NA
Aedes lauriei,Insecta,Diptera,Culicidae,NA
Aedes ciliaris,Insecta,Diptera,Culicidae,NA
Aedes candidoscutellum,Insecta,Diptera,Culicidae,NA
Aedes britteni,Insecta,Diptera,Culicidae,NA
Aedes australiensis,Insecta,Diptera,Culicidae,NA
Aedes auronitens,Insecta,Diptera,Culicidae,NA
Aedes ambremontis,Insecta,Diptera,Culicidae,NA
Aedes alticola,Insecta,Diptera,Culicidae,NA
Aedes mallochi,Insecta,Diptera,Culicidae,NA
Aedes monocellatus,Insecta,Diptera,Culicidae,NA
Aedes crossi,Insecta,Diptera,Culicidae,NA
Aedes eatoni,Insecta,Diptera,Culicidae,NA
Aedes gracilelineatus,Insecta,Diptera,Culicidae,NA
Aedes keefei,Insecta,Diptera,Culicidae,NA
Aedes quasirubithorax,Insecta,Diptera,Culicidae,NA
Aedes rimandoi,Insecta,Diptera,Culicidae,NA
Aedes roai,Insecta,Diptera,Culicidae,NA
Aedes rodhaini,Insecta,Diptera,Culicidae,NA
Aedes niveus,Insecta,Diptera,Culicidae,NA
Aedes oreophilus,Insecta,Diptera,Culicidae,NA
Aedes peipingensis,Insecta,Diptera,Culicidae,NA
Aedes plagosus,Insecta,Diptera,Culicidae,NA
Aedes toxopeusi,Insecta,Diptera,Culicidae,NA
Aedes suffusus,Insecta,Diptera,Culicidae,NA
Aedes versicolor,Insecta,Diptera,Culicidae,NA
Aedes tsiliensis,Insecta,Diptera,Culicidae,NA
Aedes sintoni,Insecta,Diptera,Culicidae,NA
Aedes rubiginosus,Insecta,Diptera,Culicidae,NA
Aedes subauridorsum,Insecta,Diptera,Culicidae,NA
Aedes stanleyi,Insecta,Diptera,Culicidae,NA
Aedes wasselli,Insecta,Diptera,Culicidae,NA
Chagasia bathana,Insecta,Diptera,Culicidae,NA
Bironella derooki,Insecta,Diptera,Culicidae,NA
Bironella papuae,Insecta,Diptera,Culicidae,NA
Bironella confusa,Insecta,Diptera,Culicidae,NA
Bironella simmondsi,Insecta,Diptera,Culicidae,NA
Bironella gracilis,Insecta,Diptera,Culicidae,NA
Bironella obscura,Insecta,Diptera,Culicidae,NA
Bironella hollandi,Insecta,Diptera,Culicidae,NA
Bironella travestita,Insecta,Diptera,Culicidae,NA
Anopheles acanthotorynus,Insecta,Diptera,Culicidae,NA
Anopheles kompi,Insecta,Diptera,Culicidae,NA
Anopheles canorii,Insecta,Diptera,Culicidae,NA
Anopheles thomasi,Insecta,Diptera,Culicidae,NA
Anopheles nimbus,Insecta,Diptera,Culicidae,NA
Anopheles parvus,Insecta,Diptera,Culicidae,NA
Anopheles pictipennis,Insecta,Diptera,Culicidae,NA
Anopheles rangeli,Insecta,Diptera,Culicidae,NA
Anopheles rondoni,Insecta,Diptera,Culicidae,NA
Anopheles sanctielii,Insecta,Diptera,Culicidae,NA
Anopheles nigritarsis,Insecta,Diptera,Culicidae,NA
Anopheles nuneztovari,Insecta,Diptera,Culicidae,NA
Anopheles oryzalimnetes,Insecta,Diptera,Culicidae,NA
Anopheles oswaldoi,Insecta,Diptera,Culicidae,NA
Anopheles trinkae,Insecta,Diptera,Culicidae,NA
Anopheles sawyeri,Insecta,Diptera,Culicidae,NA
Anopheles striatus,Insecta,Diptera,Culicidae,NA
Anopheles strodei,Insecta,Diptera,Culicidae,NA
Anopheles triannulatus,Insecta,Diptera,Culicidae,NA
Anopheles albertoi,Insecta,Diptera,Culicidae,NA
Anopheles anomalophyllus,Insecta,Diptera,Culicidae,NA
Anopheles antunesi,Insecta,Diptera,Culicidae,NA
Anopheles albimanus,Insecta,Diptera,Culicidae,NA
Anopheles albitarsis,Insecta,Diptera,Culicidae,NA
Anopheles arthuri,Insecta,Diptera,Culicidae,NA
Anopheles atacamensis,Insecta,Diptera,Culicidae,NA
Anopheles aquasalis,Insecta,Diptera,Culicidae,NA
