Disease,Serotype,Region,Observation.date
Influenza - Avian,H5N1 HPAI,Europe,14/12/2024
Influenza - Avian,H5N1 HPAI,Asia,14/12/2024
Influenza - Avian,H5 HPAI,Asia,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Americas,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Americas,13/12/2024
Influenza - Avian,H5N1 HPAI,Americas,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5N1 HPAI,Europe,13/12/2024
Influenza - Avian,H5 HPAI,Asia,13/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Europe,12/12/2024
Influenza - Avian,H5N1 HPAI,Europe,12/12/2024
Influenza - Avian,H5N1 HPAI,Europe,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Europe,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Asia,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Americas,12/12/2024
Influenza - Avian,H5N1 HPAI,Europe,11/12/2024
Influenza - Avian,H5N1 HPAI,Asia,11/12/2024
Influenza - Avian,H5N1 HPAI,Europe,11/12/2024
Influenza - Avian,H5N1 HPAI,Asia,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Americas,11/12/2024
Influenza - Avian,H5N1 HPAI,Europe,11/12/2024
Influenza - Avian,H5N1 HPAI,Asia,11/12/2024
Influenza - Avian,H5N1 HPAI,Asia,11/12/2024
Influenza - Avian,H5N1 HPAI,Europe,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Americas,10/12/2024
Influenza - Avian,H5N1 HPAI,Asia,10/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N5 HPAI,Europe,09/12/2024
Influenza - Avian,H5N5 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Americas,09/12/2024
Influenza - Avian,H5N5 HPAI,Europe,09/12/2024
Influenza - Avian,H5N5 HPAI,Europe,09/12/2024
Influenza - Avian,H5N1 HPAI,Europe,09/12/2024
Influenza - Avian,H7N8 LPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,H5N1 HPAI,Asia,09/12/2024
Influenza - Avian,HPAI,Asia,08/12/2024
Influenza - Avian,H5N1 HPAI,Europe,08/12/2024
Influenza - Avian,H5N1 HPAI,Europe,08/12/2024
Influenza - Avian,H5N1 HPAI,Europe,08/12/2024
Influenza - Avian,H5N1 HPAI,Americas,08/12/2024
Influenza - Avian,H5N1 HPAI,Americas,08/12/2024
Influenza - Avian,H5N1 HPAI,Americas,08/12/2024
Influenza - Avian,H7N8 LPAI,Asia,08/12/2024
Influenza - Avian,H5N1 HPAI,Asia,08/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Asia,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,07/12/2024
Influenza - Avian,H5 HPAI,Asia,07/12/2024
Influenza - Avian,H5N1 HPAI,Africa,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Americas,07/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Asia,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Asia,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Americas,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Europe,06/12/2024
Influenza - Avian,H5N1 HPAI,Asia,06/12/2024
Influenza - Avian,H5N1 HPAI,Asia,05/12/2024
Influenza - Avian,H5N1 HPAI,Europe,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Europe,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Americas,05/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Europe,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5N1 HPAI,Americas,04/12/2024
Influenza - Avian,H5 HPAI,Asia,04/12/2024
Influenza - Avian,H5N1 HPAI,Asia,03/12/2024
Influenza - Avian,H5N1 HPAI,Asia,03/12/2024
Influenza - Avian,H5N1 HPAI,Asia,03/12/2024
Influenza - Avian,H5N1 HPAI,Europe,03/12/2024
Influenza - Avian,H5N1 HPAI,Europe,03/12/2024
Influenza - Avian,H5N1 HPAI,Europe,03/12/2024
