tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,profile,cluster_label,clade,collection_tipdate,cluster_number,collection_dateerror
H5N3|2344b|EPI_ISL_393518|unknown_avian|iran|23_13_23_2_15_21_3_14|2019-03-30,H5N3,EPI_ISL_393518,A/Avian/Iran/38AMA/2019,2019-03-30,2019-03,2019,avian other,unknown avian,NA,NA,NA,NA,wild,other,southern asia,iran,irn,32.5092139996448,54.4699733871232,NA,NA,NA,NA,NA,NA,23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,2344b,2019-03-30,cluster003,FALSE
H5N8|2344b|EPI_ISL_682297|environment|japan|7_1_5_2_1_3_1_2|2020-11-09,H5N8,EPI_ISL_682297,a/environment/kagoshima/ku-ngr-j2/2020,2020-11-09,2020-11,2020,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagoshima,jp.ks,30.9949222722596,130.419711465505,Asia / Japan / Kagoshima / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-11-09,cluster001,FALSE
H5N8|2344b|EPI_ISL_708701|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708701,a/chicken/kagawa/i1c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708702|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708702,a/chicken/kagawa/i1t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708703|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708703,a/chicken/kagawa/i2c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708704|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708704,a/chicken/kagawa/i2t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708705|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708705,a/chicken/kagawa/i4c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708706|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708706,a/chicken/kagawa/i4t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708707|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708707,a/chicken/kagawa/i5c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708708|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708708,a/chicken/kagawa/i5t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708709|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708709,a/chicken/kagawa/i6c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708710|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708710,a/chicken/kagawa/i6t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708711|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708711,a/chicken/kagawa/j3c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708712|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708712,a/chicken/kagawa/j3t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708713|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708713,a/chicken/kagawa/j4c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708714|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708714,a/chicken/kagawa/j4t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708715|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708715,a/chicken/kagawa/j7c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708716|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708716,a/chicken/kagawa/j7t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708717|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708717,a/chicken/kagawa/j8c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708718|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708718,a/chicken/kagawa/j8t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708719|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708719,a/chicken/kagawa/j9c/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_708720|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01,H5N8,EPI_ISL_708720,a/chicken/kagawa/j9t/2020,2020-12-01,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,2344b,2020-12-01,cluster001,FALSE
H5N8|2344b|EPI_ISL_718106|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-07,H5N8,EPI_ISL_718106,a/chicken/miyazaki/d5c/2020,2020-12-07,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-07,cluster001,FALSE
H5N8|2344b|EPI_ISL_718107|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-07,H5N8,EPI_ISL_718107,a/chicken/miyazaki/d5t/2020,2020-12-07,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-07,cluster001,FALSE
H5N8|2344b|EPI_ISL_738049|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-15,H5N8,EPI_ISL_738049,a/chicken/kagawa/l4t/2020,2020-12-15,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-15,cluster001,FALSE
H5N8|2344b|EPI_ISL_738050|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-15,H5N8,EPI_ISL_738050,a/chicken/kagawa/l6t/2020,2020-12-15,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-15,cluster001,FALSE
H5N8|2344b|EPI_ISL_738051|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-15,H5N8,EPI_ISL_738051,a/chicken/kagawa/l7t/2020,2020-12-15,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-15,cluster001,FALSE
H5N8|2344b|EPI_ISL_738052|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-15,H5N8,EPI_ISL_738052,a/chicken/kagawa/l9t/2020,2020-12-15,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,Asia / Japan / Kagawa / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-15,cluster001,FALSE
H5N8|2344b|EPI_ISL_738053|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738053,a/chicken/miyazaki/h1t/2020,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-18,cluster001,FALSE
H5N8|2344b|EPI_ISL_738054|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738054,a/chicken/miyazaki/h3t/2020,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-18,cluster001,FALSE
H5N8|2344b|EPI_ISL_738055|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738055,a/chicken/miyazaki/h6t/2020,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-18,cluster001,FALSE
H5N8|2344b|EPI_ISL_738056|galliformes|japan|12_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738056,a/chicken/miyazaki/h9t/2020,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,miyazaki,jp.mz,32.1919114758892,131.298614512671,Asia / Japan / Miyazaki / NA / NA,H5N8/2020/R3_Asia,12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,2344b,2020-12-18,cluster001,FALSE
H5N8|2344b|EPI_ISL_738057|galliformes|japan|7_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738057,a/chicken/tokushima/1t/20200/NA,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tokushima,jp.ts,33.9191788356518,134.242093496813,Asia / Japan / Tokushima / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2020-12-18,cluster001,FALSE
H5N8|2344b|EPI_ISL_738058|galliformes|japan|7_1_5_2_3_3_1_2|2020-12-18,H5N8,EPI_ISL_738058,a/chicken/tokushima/2t/2020,2020-12-18,2020-12,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tokushima,jp.ts,33.9191788356518,134.242093496813,Asia / Japan / Tokushima / NA / NA,H5N8/2020/R1_Europe,7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,2344b,2020-12-18,cluster001,FALSE
