isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_525452,A/domestic_duck/Poland/223/2020,H5N8,Europe / Poland,domestic_duck,21/02/2020,,2.3.4.4b,TRUE,2020.139,2020,2020-02,52,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525453,A/domestic_duck/Poland/229/2020,H5N8,Europe / Poland,domestic_duck,22/02/2020,,2.3.4.4b,TRUE,2020.142,2020,2020-02,53,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525454,A/domestic_duck/Poland/230/2020,H5N8,Europe / Poland,domestic_duck,22/02/2020,,2.3.4.4b,TRUE,2020.142,2020,2020-02,53,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525455,A/domestic_duck/Poland/237/2020,H5N8,Europe / Poland,domestic_duck,24/02/2020,,2.3.4.4b,TRUE,2020.148,2020,2020-02,55,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525461,A/turkey/Poland/366/2020,H5N8,Europe / Poland,turkey,23/03/2020,,2.3.4.4b,TRUE,2020.224,2020,2020-03,83,2020.12,Europe,Poland,,,,poland,poland,poland,turkey,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525462,A/domestic_goose/Poland/274/2020,H5N8,Europe / Poland,domestic_goose,01/03/2020,,2.3.4.4b,TRUE,2020.164,2020,2020-03,61,2020.9,Europe,Poland,,,,poland,poland,poland,goose,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525463,A/domestic_duck/Poland/285/2020,H5N8,Europe / Poland,domestic_duck,03/03/2020,,2.3.4.4b,TRUE,2020.169,2020,2020-03,63,2020.1,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525464,A/domestic_duck/Poland/263/2020,H5N8,Europe / Poland,domestic_duck,26/02/2020,,2.3.4.4b,TRUE,2020.153,2020,2020-02,57,2020.9,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525465,A/domestic_duck/Poland/271/2020,H5N8,Europe / Poland,domestic_duck,29/02/2020,,2.3.4.4b,TRUE,2020.161,2020,2020-02,60,2020.9,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_591075,A/mute swan/Netherlands/20015931-001/2020,H5N8,Europe / Netherlands / Provincie Utrecht / Kockengen,mute_swan,17/10/2020,wild,2.3.4.4b,TRUE,2020.792,2020,2020-10,291,2020.42,Europe,Netherlands,Provincie Utrecht,Kockengen,,netherlands,netherlands,netherlands,cygnus_olor,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_603132,A/chicken/Netherlands/20016597-026030/2020,H5N8,Europe / Netherlands / Provincie Gelderland / West Maas en Waal / Altforst,chicken,28/10/2020,domestic,2.3.4.4b,TRUE,2020.822,2020,2020-10,302,2020.44,Europe,Netherlands,Provincie Gelderland,West Maas en Waal,Altforst,netherlands,netherlands,netherlands,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_603133,A/Eurasian Wigeon/Netherlands/1/2020,H5N1,Europe / Netherlands,eurasian_wigeon,16/10/2020,,2.3.4.4b,TRUE,2020.79,2020,2020-10,290,2020.42,Europe,Netherlands,,,,netherlands,netherlands,netherlands,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_603134,A/Eurasian Wigeon/Netherlands/4/2020,H5N1,Europe / Netherlands,eurasian_wigeon,16/10/2020,,2.3.4.4b,TRUE,2020.79,2020,2020-10,290,2020.42,Europe,Netherlands,,,,netherlands,netherlands,netherlands,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_603135,A/Eurasian Wigeon/Netherlands/5/2020,H5N1,Europe / Netherlands,eurasian_wigeon,16/10/2020,,2.3.4.4b,TRUE,2020.79,2020,2020-10,290,2020.42,Europe,Netherlands,,,,netherlands,netherlands,netherlands,avian,Anseriformes,wild,Anseriformes wild,2,1,1,1,1,1,1,1,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5
EPI_ISL_603136,A/Eurasian Wigeon/Netherlands/7/2020,H5N8,Europe / Netherlands,eurasian_wigeon,16/10/2020,,2.3.4.4b,TRUE,2020.79,2020,2020-10,290,2020.42,Europe,Netherlands,,,,netherlands,netherlands,netherlands,avian,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_603231,A/chicken/Bulgaria/201_20VIR1723-1/2020,H5N2,Europe / Bulgaria / Oblast Plovdiv / Trilistnik,chicken,02/03/2020,,2.3.4.4b,TRUE,2020.167,2020,2020-03,62,2020.9,Europe,Bulgaria,Oblast Plovdiv,Trilistnik,,bulgaria,bulgaria,bulgaria,chicken,Galliformes,domestic,Galliformes,1,1,41,12,24,42,11,7,1_1_41_12_24_42_11_7,NA,202
EPI_ISL_603233,A/chicken/Bulgaria/380-1_20VIR3542-1/2020,H5N8,Europe / Bulgaria / Oblast Plovdiv / Asenograd,chicken,03/06/2020,,2.3.4.4b,TRUE,2020.421,2020,2020-06,155,2020.23,Europe,Bulgaria,Oblast Plovdiv,Asenograd,,bulgaria,bulgaria,bulgaria,chicken,Galliformes,domestic,Galliformes,46,2,53,12,29,54,11,2,46_2_53_12_29_54_11_2,NA,273
EPI_ISL_614400,A/barnacle goose/Germany-SH/AI02167/2020,H5N8,Europe / Germany / Schleswig-Holstein,barnacle_goose,28/10/2020,wild,2.3.4.4b,TRUE,2020.822,2020,2020-10,302,2020.44,Europe,Germany,Schleswig-Holstein,,,germany-sh,germany,germany,branta_leucopsis,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_614401,A/mute_swan/Kazakhstan/1-267-20-B/2020,H5N8,Asia / Kazakhstan / Akmola,mute_swan,23/09/2020,wild,2.3.4.4b,TRUE,2020.727,2020,2020-09,267,2020.39,Asia,Kazakhstan,Akmola,,,kazakhstan,kazakhstan,kazakhstan,swan,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_615065,A/domestic_goose/Kazakhstan/1-261_2-20-B/2020,H5N8,Asia / Kazakhstan / Kostanay,domestic_goose,22/09/2020,domestic,2.3.4.4b,TRUE,2020.724,2020,2020-09,266,2020.39,Asia,Kazakhstan,Kostanay,,,kazakhstan,kazakhstan,kazakhstan,goose,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_615068,A/domestic_goose/Kazakhstan/1-248_2-20-B/2020,H5N8,Asia / Kazakhstan / Akmola,domestic_goose,20/09/2020,domestic,2.3.4.4b,TRUE,2020.719,2020,2020-09,264,2020.38,Asia,Kazakhstan,Akmola,,,kazakhstan,kazakhstan,kazakhstan,goose,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_615072,A/domestic_duck/Kazakhstan/1-274-20-B/2020,H5N8,Asia / Kazakhstan / Kostanay,domestic_duck,25/09/2020,domestic,2.3.4.4b,TRUE,2020.732,2020,2020-09,269,2020.39,Asia,Kazakhstan,Kostanay,,,kazakhstan,kazakhstan,kazakhstan,duck,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_615073,A/domestic_goose/Kazakhstan/1-242_2-20-B/2020,H5N8,Asia / Kazakhstan / North Kazakhstan,domestic_goose,19/09/2020,domestic,2.3.4.4b,TRUE,2020.716,2020,2020-09,263,2020.38,Asia,Kazakhstan,North Kazakhstan,,,kazakhstan,kazakhstan,kazakhstan,goose,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_623074,A/chicken/Iraq/1/2020,H5N8,Asia / Iraq / Muhafazat Ninawa,chicken,12/05/2020,domestic,2.3.4.4b,TRUE,2020.361,2020,2020-05,133,2020.2,Asia,Iraq,Muhafazat Ninawa,,,iraq,iraq,iraq,chicken,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_623075,A/chicken/Netherlands/20017138-016020/2020,H5N8,Europe / Netherlands / Provincie Gelderland / Gemeente Druten,chicken,04/11/2020,domestic,2.3.4.4b,TRUE,2020.842,2020,2020-11,309,2020.45,Europe,Netherlands,Provincie Gelderland,Gemeente Druten,,netherlands,netherlands,netherlands,gallus_gallus,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_625671,A/whooper swan/Inner Mongolia/w1-1/2020,H5N8,Asia / China / Inner Mongolia Autonomous Region,whooper_swan,17/10/2020,wild,2.3.4.4b,TRUE,2020.792,2020,2020-10,291,2020.42,Asia,China,Inner Mongolia Autonomous Region,,,inner_mongolia,inner_mongolia,inner_mongolia,whooper_swan,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_625672,A/mute swan/Inner Mongolia/w2-1/2020,H5N8,Asia / China / Inner Mongolia Autonomous Region,mute_swan,17/10/2020,wild,2.3.4.4b,TRUE,2020.792,2020,2020-10,291,2020.42,Asia,China,Inner Mongolia Autonomous Region,,,inner_mongolia,inner_mongolia,inner_mongolia,cygnus_olor,Anseriformes,wild,Anseriformes wild,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_631824,A/Mandarin duck/Korea/H242/2020,H5N8,"Asia / Korea, Republic of / Chungcheongbuk-do",mandarin_duck,21/10/2020,,2.3.4.4b,TRUE,2020.803,2020,2020-10,295,2020.43,Asia,Korea,Chungcheongbuk-do,,,korea,korea,korea,wild_waterfowl,Anseriformes,wild,Anseriformes wild,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_637098,A/duck/Chelyabinsk/1207-1/2020,H5N8,Europe / Russian Federation / Chelyabinsk Oblast,duck,31/07/2020,domestic,2.3.4.4b,TRUE,2020.579,2020,2020-07,213,2020.31,Europe,Russia,Chelyabinsk Oblast,,,chelyabinsk,chelyabinsk,chelyabinsk,duck,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_641377,A/chicken/Netherlands/20016978-001/2020,H5N8,Europe / Netherlands / Provincie Noord-Holland / Edam-Volendam,chicken,02/11/2020,domestic,2.3.4.4b,TRUE,2020.836,2020,2020-11,307,2020.44,Europe,Netherlands,Provincie Noord-Holland,Edam-Volendam,,netherlands,netherlands,netherlands,gallus_gallus,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_641378,A/greater white-fronted goose/Netherlands/20017403-004/2020,H5N5,Europe / Netherlands / South Holland / Gemeente Rijswijk,greater_white-fronted_goose,07/11/2020,wild,2.3.4.4b,TRUE,2020.85,2020,2020-11,312,2020.45,Europe,Netherlands,South Holland,Gemeente Rijswijk,,netherlands,netherlands,netherlands,white-fronted_goose,Anseriformes,wild,Anseriformes wild,3,2,2,1,1,7,1,2,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36
EPI_ISL_641394,A/chicken/Netherlands/20017639-001/2020,H5N8,Europe / Netherlands / Provincie Friesland / Wons,chicken,10/11/2020,domestic,2.3.4.4b,TRUE,2020.858,2020,2020-11,315,2020.46,Europe,Netherlands,Provincie Friesland,Wons,,netherlands,netherlands,netherlands,gallus_gallus,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_641395,A/chicken/Netherlands/20017694-004/2020,H5N8,Europe / Netherlands / Provincie Noord-Holland / Gemeente Purmerend,chicken,11/11/2020,domestic,2.3.4.4b,TRUE,2020.861,2020,2020-11,316,2020.46,Europe,Netherlands,Provincie Noord-Holland,Gemeente Purmerend,,netherlands,netherlands,netherlands,gallus_gallus,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_641518,A/duck/Netherlands/20017868-016020/2020,H5N8,Europe / Netherlands / Provincie Gelderland / Gemeente Voorst,duck,13/11/2020,domestic,2.3.4.4b,TRUE,2020.866,2020,2020-11,318,2020.46,Europe,Netherlands,Provincie Gelderland,Gemeente Voorst,,netherlands,netherlands,netherlands,duck,Anseriformes,domestic,Anseriformes domestic,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
EPI_ISL_644121,A/turkey/Omsk/0001/2020,H5N8,Europe / Russian Federation / Omsk Oblast / Omsk,turkey,13/08/2020,domestic,2.3.4.4b,TRUE,2020.615,2020,2020-08,226,2020.33,Europe,Russia,Omsk Oblast,Omsk,,omsk,omsk,omsk,meleagris_gallopavo,Galliformes,domestic,Galliformes,3,2,3,1,1,2,1,2,3_2_3_1_1_2_1_2,H5N8/2020/R2_Asia,1
