tipnames	virus.subtype	host.class	host.order	collection.region.name	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_3128523.Pelecaniformes.greece.1.2021-03-22	H5N8	Pelecaniformes_wild	Pelecaniformes	southern europe	41.08831	23.542815	profile001
H5N8.EPI_ISL_1114752.Anseriformes.netherlands.1.2020-12-31	H5N8	Anseriformes_wild	Anseriformes	western europe	51.4826537	5.23216869999999	profile001
H5N8.EPI_ISL_977582.Anseriformes.china.1.2020-12-29	H5N8	Anseriformes_wild	Anseriformes	eastern asia	39.904214	116.407413	profile001
H5N8.EPI_ISL_15435511.Anseriformes.china.1.2021-01-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	24.9494565	103.9504529	profile001
H5N8.EPI_ISL_15433349.Anseriformes.china.NA.2021-01-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	24.9494565	103.9504529	profile001
H5N8.EPI_ISL_14836098.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14822357.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile001
H5N8.EPI_ISL_2172526.Anseriformes.netherlands.1.2021-02-21	H5N8	Anseriformes_wild	Anseriformes	western europe	52.045155	5.87182340000004	profile001
H5N8.EPI_ISL_1114740.Galliformes.russia.1.2020-10-17	H5N8	Galliformes_domestic	Galliformes	eastern europe	36.891328	27.283453	profile001
H5N8.EPI_ISL_5143995.Anseriformes.germany.1.2021-03-21	H5N8	Anseriformes_domestic	Anseriformes	western europe	51.80211	11.0531599999999	profile001
H5N8.EPI_ISL_7623789.Galliformes.belgium.1.2021-07-12	H5N8	Galliformes_domestic	Galliformes	western europe	51.02337	3.62184999999999	profile001
H5N8.EPI_ISL_1114738.Galliformes.russia.1.2020-10-17	H5N8	Galliformes_domestic	Galliformes	eastern europe	36.891328	27.283453	profile001
H5N8.EPI_ISL_5098146.Galliformes.germany.1.2021-02-08	H5N8	Galliformes_domestic	Galliformes	western europe	53.6126505	12.4295953	profile001
H5N8.EPI_ISL_5115614.Galliformes.germany.1.2021-02-26	H5N8	Galliformes_domestic	Galliformes	western europe	52.5234051	13.4113999	profile001
H5N8.EPI_ISL_5115968.Galliformes.germany.1.2021-03-04	H5N8	Galliformes_domestic	Galliformes	western europe	52.408418	12.562492	profile001
H5N8.EPI_ISL_1114759.Galliformes.russia.1.2021-01-29	H5N8	Galliformes_domestic	Galliformes	eastern europe	47.2357	39.7015	profile001
H5N8.EPI_ISL_668457.Anseriformes.sweden.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	northern europe	55.9902572	13.5957691999999	profile001
H5N8.EPI_ISL_644150.Galliformes.russia.1.2020-08-17	H5N8	Galliformes_domestic	Galliformes	central asia	54.9885	73.3242	profile001
H5N8.EPI_ISL_644125.Anseriformes.russia.1.2020-08-17	H5N8	Anseriformes_wild	Anseriformes	central asia	54.9885	73.3242	profile001
H5N8.EPI_ISL_2685846.Anseriformes.china.1.2020-11-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_17767120.Anseriformes.china.NA.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_1665272.Anseriformes.italy.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	southern europe	40.3532912	18.1740146	profile001
H5N8.EPI_ISL_625671.Anseriformes.china.1.2020-10-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	38.852843	105.7008601	profile001
H5N8.EPI_ISL_1822592.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N8.EPI_ISL_1760451.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N8.EPI_ISL_2713314.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_1937884.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_1822596.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N8.EPI_ISL_1760447.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.223126	108.95546	profile001
H5N8.EPI_ISL_1829205.Anseriformes.china.1.2020-11-02	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_1822599.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N8.EPI_ISL_2713170.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_2555532.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_17767118.Anseriformes.china.NA.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_16215736.Galliformes.china.1.2020-12	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.86166	104.195397	profile001
H5N2.EPI_ISL_china_9.Anseriformes.china.101.2022-01-26	H5N2	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643	profile001
H5N8.EPI_ISL_5260417.Charadriiformes.china.1.2021-05-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	31.2255567	121.4802765	profile001
H5N8.EPI_ISL_14822549.Anseriformes.china.1.2021-05-18	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765	profile001
H5N8.EPI_ISL_16209048.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963	profile001
H5N8.EPI_ISL_13295077.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	11.558831	104.917445	profile001
H5N8.EPI_ISL_13295170.Anseriformes.cambodia.81.2021-11-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	10.9833333	104.7833333	profile001
H5N8.EPI_ISL_17760584.Anseriformes.cambodia.81.2021-11-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963	profile001
H5N8.EPI_ISL_13295169.Anseriformes.cambodia.81.2021-10-15	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	54.3267888	-2.74757769999997	profile001
H5N8.EPI_ISL_17760583.Anseriformes.cambodia.81.2021-10-15	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963	profile001
H5N8.EPI_ISL_13295139.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	11.558831	104.917445	profile001
H5N8.EPI_ISL_17760581.Anseriformes.cambodia.81.2021-09-16	H5N8	Anseriformes_wild	Anseriformes	south-eastern asia	12.565679	104.990963	profile001
H5N8.EPI_ISL_1041133.Galliformes.japan.1.2021-02-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	34.0702703	134.5548438	profile001
H5N8.EPI_ISL_17086341.environment.japan.NA.2021-02-09	H5N8	unknown	environment	eastern asia	34.0702703	134.5548438	profile001
H5N8.EPI_ISL_1009707.NA.south_korea.1.2020-12-14	H5N8	unknown	NA	eastern asia	36.8	127.7	profile001
H5N8.EPI_ISL_978896.Galliformes.japan.1.2021-02-05	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_1081353.Anseriformes.japan.1.2021-02-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.3813638	139.7303175	profile001
H5N8.EPI_ISL_5260467.Podicipediformes.china.1.2021-06-05	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	34.223126	108.95546	profile001
H5N8.EPI_ISL_5260468.Podicipediformes.china.1.2021-06-15	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	31.2313805	121.4137827	profile001
H5N8.EPI_ISL_985220.Galliformes.japan.1.2021-02-06	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_985222.Galliformes.japan.1.2021-02-06	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_17086347.Anseriformes.japan.NA.2021-02-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_1009711.Anseriformes.south_korea.1.2021-01-06	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile001
H5N8.EPI_ISL_17086355.environment.japan.NA.2021-02-14	H5N8	unknown	environment	eastern asia	36.6485496	138.1942432	profile001
H5N8.EPI_ISL_978916.Anseriformes.japan.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.2869206	140.4245143	profile001
H5N8.EPI_ISL_1009698.Anseriformes.south_korea.1.2020-11-25	H5N8	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile001
H5N8.EPI_ISL_978897.Galliformes.japan.1.2021-02-05	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N6.EPI_ISL_11208195.Anseriformes.china.73.2021-12-02	H5N6	Anseriformes_wild	Anseriformes	eastern asia	26.424084	106.673534	profile001
H5N8.EPI_ISL_7192735.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793	profile001
H5N8.EPI_ISL_7379464.Anseriformes.china.1.2021-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.632278	104.086793	profile001
H5N8.EPI_ISL_5260453.Anseriformes.china.1.2021-01-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile001
H5N8.EPI_ISL_14836376.Anseriformes.china.1.2020-11-18	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14836593.Anseriformes.china.NA.2020-12-06	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_17767122.Anseriformes.china.NA.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_14819900.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile001
H5N8.EPI_ISL_2815336.Anseriformes.china.1.2020-10-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile001
H5N8.EPI_ISL_1760450.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.223126	108.95546	profile001
H5N8.EPI_ISL_1939617.Strigiformes.china.1.2020-11-11	H5N8	Strigiformes_wild	Strigiformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14824122.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14822426.Anseriformes.china.NA.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2255567	121.4802765	profile001
H5N8.EPI_ISL_14836369.Anseriformes.china.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_5260448.Anseriformes.china.1.2021-03-19	H5N8	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643	profile001
H5N8.EPI_ISL_14840053.Anseriformes.china.NA.2021-01-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_5260463.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	28.4560996	117.9215965	profile001
H5N8.EPI_ISL_14823405.Anseriformes.china.NA.2021-01-27	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_14839943.Anseriformes.china.NA.2021-01-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14836081.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.1277675	114.0791925	profile001
H5N8.EPI_ISL_14822356.Anseriformes.china.1.2021-03-11	H5N8	Anseriformes_wild	Anseriformes	eastern asia	31.2313805	121.4137827	profile001
H5N8.EPI_ISL_2555542.Anseriformes.china.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_17767121.Anseriformes.china.NA.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_2555534.Anseriformes.china.1.2020-11-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_2556113.Anseriformes.china.1.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_17767119.Anseriformes.china.NA.2020-11-12	H5N8	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_7381695.Anseriformes.china.1.2021-08	H5N8	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139	profile001
H5N6.EPI_ISL_7983813.Primates.china.73.2021-12-22	H5N6	Primates_wild	Primates	eastern asia	29.9488786	121.1430935	profile001
H5N6.EPI_ISL_8518268.Galliformes.china.73.2021-12-23	H5N6	Galliformes_domestic	Galliformes	eastern asia	29.9488786	121.1430935	profile001
H5N6.EPI_ISL_8517996.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935	profile001
H5N6.EPI_ISL_8518000.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935	profile001
H5N6.EPI_ISL_5159426.NA.china.NA.2021-09-11	H5N6	unknown	NA	eastern asia	27.2498042	113.6176643	profile001
H5N6.EPI_ISL_16208999.Primates.china.126.2021-09-19	H5N6	Primates_wild	Primates	eastern asia	23.2600355	113.25139	profile001
H5N6.EPI_ISL_6760687.Anseriformes.china.126.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139	profile001
H5N6.EPI_ISL_11208196.Anseriformes.china.126.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643	profile001
H5N6.EPI_ISL_16466440.Primates.china.126.2022-11-11	H5N6	Primates_wild	Primates	eastern asia	27.2498042	113.6176643	profile001
H5N6.EPI_ISL_15613574.NA.china.NA.2021-08-19	H5N6	unknown	NA	eastern asia	23.2600355	113.25139	profile001
H5N6.EPI_ISL_6772898.Anseriformes.china.209.2021-08	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139	profile001
H5N6.EPI_ISL_7457654.Galliformes.china.209.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	23.2600355	113.25139	profile001
H5N8.EPI_ISL_4062444.Anseriformes.china.NA.2020-11-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.86166	104.195397	profile001
H5N6.EPI_ISL_11208197.Anseriformes.china.73.2021-12-01	H5N6	Anseriformes_wild	Anseriformes	eastern asia	27.2498042	113.6176643	profile001
H5N6.EPI_ISL_china_1.Galliformes.china.314.2022-02-28	H5N6	Galliformes_domestic	Galliformes	eastern asia	36.674306	117.059933	profile060
H5N8.EPI_ISL_4062439.Anseriformes.china.NA.2020-11-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.86166	104.195397	profileNA
H5N6.EPI_ISL_6757629.Anseriformes.china.290.2021-03	H5N6	Anseriformes_wild	Anseriformes	eastern asia	23.2600355	113.25139	profile001
H5N8.EPI_ISL_2555536.Charadriiformes.china.1.2020-11-16	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_5260421.Anseriformes.china.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126	profile001
H5N8.EPI_ISL_5260426.Anseriformes.china.1.2021-05-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126	profile001
H5N6.EPI_ISL_3770740.Primates.china.73.2021-07-14	H5N6	Primates_wild	Primates	eastern asia	22.826617	108.344126	profile001
H5N8.EPI_ISL_7381448.Galliformes.china.205.2021-07	H5N8	Galliformes_domestic	Galliformes	eastern asia	22.826617	108.344126	profile001
H5N6.EPI_ISL_11208194.Anseriformes.china.213.2021-10-18	H5N6	Anseriformes_wild	Anseriformes	eastern asia	22.826617	108.344126	profile001
H5N8.EPI_ISL_11504587.Galliformes.viet_nam.205.2021-12-01	H5N8	Galliformes_domestic	Galliformes	south-eastern asia	21.8477778	106.7577778	profile001
H5N6.EPI_ISL_8517997.environment.china.73.2021-12-23	H5N6	unknown	environment	eastern asia	29.9488786	121.1430935	profile001
H5N6.EPI_ISL_18000337.NA.china.NA.2022-02-27	H5N6	unknown	NA	eastern asia	29.1557051	113.7157613	profile001
H5N6.EPI_ISL_6760686.Galliformes.china.291.2021-06	H5N6	Galliformes_domestic	Galliformes	eastern asia	38.3905141	114.8555706	profile001
H5N6.EPI_ISL_6772759.Galliformes.china.127.2021-08	H5N6	Galliformes_domestic	Galliformes	eastern asia	23.2600355	113.25139	profile001
H5N8.EPI_ISL_7381026.Galliformes.china.1.2021-03	H5N8	Galliformes_domestic	Galliformes	eastern asia	41.7315285	123.2575966	profile001
H5N8.EPI_ISL_1041160.Galliformes.japan.1.2021-02-14	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_17086352.Galliformes.japan.NA.2021-02-15	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_978914.Anseriformes.japan.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_1041165.Anseriformes.japan.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_17086338.Anseriformes.japan.NA.2021-01-21	H5N8	Anseriformes_domestic	Anseriformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_17086351.Galliformes.japan.NA.2021-02-11	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_985224.Galliformes.japan.1.2021-02-07	H5N8	Galliformes_domestic	Galliformes	eastern asia	35.6072668	140.1062907	profile001
H5N8.EPI_ISL_5260469.Anseriformes.china.1.2021-01-26	H5N8	Anseriformes_wild	Anseriformes	eastern asia	32.0922799	118.6126374	profile001
H5N8.EPI_ISL_1009709.NA.south_korea.1.2020-12-16	H5N8	unknown	NA	eastern asia	33.3846	126.5535	profile001
H5N8.EPI_ISL_1009710.Anseriformes.south_korea.1.2020-11-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	33.3846	126.5535	profile001
H5N8.EPI_ISL_5260416.Charadriiformes.china.1.2021-02-22	H5N8	Charadriiformes_wild	Charadriiformes	eastern asia	36.674306	117.059933	profile001
H5N8.EPI_ISL_5260445.Anseriformes.china.1.2021-04-27	H5N8	Anseriformes_wild	Anseriformes	eastern asia	38.3905141	114.8555706	profile001
H5N8.EPI_ISL_985196.Anseriformes.south_korea.1.2020-12-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile001
H5N8.EPI_ISL_1009708.Anseriformes.south_korea.1.2020-12-15	H5N8	Anseriformes_wild	Anseriformes	eastern asia	44.4957481	11.2946868	profile001
H5N8.EPI_ISL_6829497.Gruiformes.japan.1.2021-11-19	H5N8	Gruiformes_wild	Gruiformes	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_6829536.Galliformes.japan.1.2021-11-14	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_15063430.Galliformes.japan.NA.2021-11-15	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_17655581.environment.japan.NA.2021-11-22	H5N8	unknown	environment	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_17655583.environment.japan.NA.2021-11-22	H5N8	unknown	environment	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_15063428.environment.japan.NA.2021-11-10	H5N8	unknown	environment	eastern asia	39.7200079	140.1025642	profile001
H5N8.EPI_ISL_6829532.Galliformes.japan.NA.2021-11-09	H5N8	Galliformes_domestic	Galliformes	eastern asia	39.7200079	140.1025642	profile001
H5N1.EPI_ISL_12572652.Galliformes.china.110.2022-03-03	H5N1	Galliformes_domestic	Galliformes	eastern asia	31.844419	117.254331	profile001
H5N1.EPI_ISL_12572657.Anseriformes.china.110.2021-11-27	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N1.EPI_ISL_12572653.Galliformes.china.110.2021-12-07	H5N1	Galliformes_domestic	Galliformes	eastern asia	29.1557051	113.7157613	profile001
H5N1.EPI_ISL_12572663.Columbiformes.china.110.2021-12-08	H5N1	Columbiformes_wild	Columbiformes	eastern asia	29.1557051	113.7157613	profile001
H5N1.EPI_ISL_12572660.Anseriformes.china.110.2021-12-08	H5N1	Anseriformes_wild	Anseriformes	eastern asia	29.1557051	113.7157613	profile001
H5N1.EPI_ISL_12572658.Anseriformes.china.110.2022-01-10	H5N1	Anseriformes_wild	Anseriformes	eastern asia	30.9894798	112.8721355	profile001
H5N8.EPI_ISL_1009694.Anseriformes.south_korea.1.2021-01-09	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.4606	128.2132	profile001
H5N8.EPI_ISL_5260466.Podicipediformes.china.1.2021-02-22	H5N8	Podicipediformes_wild	Podicipediformes	eastern asia	36.674306	117.059933	profile001
H5N1.EPI_ISL_12572656.Anseriformes.china.22.2022-02-22	H5N1	Anseriformes_wild	Anseriformes	eastern asia	26.424084	106.673534	profile030
H5N8.EPI_ISL_985191.Galliformes.south_korea.1.2020-12-12	H5N8	Galliformes_domestic	Galliformes	eastern asia	44.4957481	11.2946868	profile001
H5N8.EPI_ISL_1009687.Galliformes.south_korea.1.2020-12-31	H5N8	Galliformes_wild	Galliformes	eastern asia	36.4919	128.8889	profile001
H5N8.EPI_ISL_985194.Anseriformes.south_korea.1.2020-12-14	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile001
H5N8.EPI_ISL_1098830.Gruiformes.japan.1.2021-01-19	H5N8	Gruiformes_wild	Gruiformes	eastern asia	31.5965535	130.5571158	profile001
H5N8.EPI_ISL_5260464.Anseriformes.china.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile001
NA.EPI_ISL_14845579.Anseriformes.china.NA.2021-04-29	NA	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile001
H5N8.EPI_ISL_5260458.Anseriformes.china.1.2021-01-23	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.674306	117.059933	profile001
H5N8.EPI_ISL_1009691.Anseriformes.south_korea.1.2021-01-04	H5N8	Anseriformes_wild	Anseriformes	eastern asia	35.7197	127.1244	profile001
H5N8.EPI_ISL_985205.Anseriformes.south_korea.1.2020-12-24	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.5184	126.8	profile001
H5N8.EPI_ISL_1009680.Galliformes.south_korea.1.2020-12-28	H5N8	Galliformes_domestic	Galliformes	eastern asia	44.4957481	11.2946868	profile001
H5N8.EPI_ISL_1009683.Anseriformes.south_korea.1.2020-12-29	H5N8	Anseriformes_wild	Anseriformes	eastern asia	34.8679	126.991	profile001
H5N8.EPI_ISL_1009693.Galliformes.south_korea.1.2021-01-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	44.4957481	11.2946868	profile001
H5N8.EPI_ISL_1009692.Anseriformes.south_korea.1.2021-01-05	H5N8	Anseriformes_wild	Anseriformes	eastern asia	36.8	127.7	profile001
H5N8.EPI_ISL_978905.Galliformes.japan.1.2021-01-30	H5N8	Galliformes_domestic	Galliformes	eastern asia	31.9076736	131.4202411	profile001
